Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
"Carlos Carrasco","NYM",53.2,-4.398056503080986,,,,,-9.296039782072368,0.21432223562466896,5.198065824286882,,,-4.693664829480594,,,"Carlos Carrasco",6632,471911
"Craig Kimbrel","- - -",59.2,-6.853307792467949,,,,,,,,4.972500998480362,,,,,"Craig Kimbrel",6655,518886
"Alex Colomé","MIN",65,-1.682623009314904,,0.9581924181860446,,,8.875484466552734,-7.467761993408203,,,,-3.1611671447753906,,,"Alex Colome",6661,517008
"Andrew Miller","STL",36,5.3197075872137995,,,,,9.575985666048728,-6.770753779613466,,,,,,,"Andrew Miller",6785,453192
"Johnny Cueto","SFG",114.2,-7.377187938294,,-3.0353883545974205,,,-10.18584193069091,0.22590837759130142,1.7419246550529235,1.0785759687423706,,-7.360620103440843,,,"Johnny Cueto",6893,456501
"Chase Anderson","PHI",48,-3.8066677638462614,,1.8241878360896915,,,-7.397058882803287,2.0181661683159904,3.09581944849584,,,-9.72414176302602,,,"Chase Anderson",6895,502624
"Martín Pérez","BOS",114,6.798000759548611,,0.7880837617097077,,,9.930802920733942,,-2.473480346096549,,,8.753449095326358,,,"Martin Perez",6902,527048
"Joakim Soria","- - -",37.1,-3.5027569529073816,,,,,-8.193794012069702,7.694075000378513,6.7626219529372,,,-6.7779184977213545,,,"Joakim Soria",6941,465657
"Luis García","STL",33.1,-5.708118438720703,,,-4.19957513324285,,-8.811239026256443,1.7521413167317708,,,,,,,"Luis Garcia",6984,472610
"Ian Kennedy","- - -",56.1,-6.709208773795485,,0.9541966698386453,-9.092427444458007,,,3.45165319028108,,4.754659735638162,,-8.498616960313585,,,"Ian Kennedy",6986,453178
"Ryan Pressly","HOU",64,-0.6695016527932788,,,,,-7.167670249938965,2.403733459829587,8.071868635650373,,,,,,"Ryan Pressly",7005,519151
"Daniel Bard","COL",65.2,-5.920791739004629,,,,,-8.834407725232714,4.569709329044118,,,,-9.518495589967758,,,"Daniel Bard",7115,453268
"Daniel Hudson","- - -",51.2,-6.735974741790254,,,,,-11.469940185546875,0.3147123712133691,,,,-10.881907145182291,,,"Daniel Hudson",7146,543339
"Greg Holland","KCR",55.2,-0.0794292326590315,,,,,,2.7567989618451763,2.5029188848174777,,,,,,"Greg Holland",7196,518813
"Craig Stammen","SDP",88.1,-2.9985506534576416,,-0.6901713588781524,,,-8.401955789777288,5.571567058563232,,3.8102051615715027,,-8.419407367706299,,,"Craig Stammen",7274,489334
