Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
"Asher Wojciechowski","CIN",9.240640485954016,2.7433151442675987,3.36842105,2.021390106302441,0.22939068,0.06810036,0.16129032,0.2784313725490196,1.443850075930315,0.3220338983050847,0.62334218,146.32289989931428,117.13101211815632,113.58687663319812,6.497325341686418,5.179029800516308,1.3182955411701096,4.913184688242133,4.1853510001731715,"Asher Wojciechowski",10836,592879
"Seunghwan Oh","STL",8.191011938117548,2.275281093921541,3.6,1.5168540626143605,0.20454545,0.05681818,0.14772727,0.2764227642276423,1.3988765244110215,0.31868131868131866,0.76388889,97.82421024988575,104.98245101992576,116.40845481784261,4.095505969058774,4.43853868042155,-0.3430327113627758,5.035656469883643,4.184844142882905,"Seunghwan Oh",18719,493200
"Simon Castro","OAK",8.513514391256217,3.4054057565024873,2.5,1.7027028782512437,0.22875817,0.09150327,0.1372549,0.23357664233576642,1.243243371421543,0.2631578947368421,0.73298429,103.63555470939478,117.23409089502728,113.11438152066971,4.378378829788912,5.022504751346181,-0.6441259215572694,4.966837582054437,4.183364188957761,"Simon Castro",9243,501563
"Chasen Bradford","NYM",7.217821509566297,3.4752473934948838,2.07692308,0.8019801677295886,0.18881119,0.09090909,0.0979021,0.23076923076923078,1.2772276745323077,0.27,0.67010309,91.55362740964486,91.29821173707259,99.39476204447043,3.742574116071413,3.870510954417946,-0.1279368383465327,4.297170016594488,4.171721205310366,"Chasen Bradford",12452,607473
"Josh Tomlin","CLE",6.957446055587221,0.8936169245708357,7.78571429,1.4680849475092301,0.18632479,0.02393162,0.16239316,0.2927689594356261,1.2765956065297654,0.32873563218390806,0.68511199,109.2069117539026,93.39880774369476,93.6236370604376,4.978722865466085,4.115086399111192,0.863636466354893,4.113947805100774,4.169083889252389,"Josh Tomlin",9388,458708
"Buddy Boshers","MIN",7.200003138952261,2.5714296924829503,2.8,1.8000007847380652,0.18300654,0.06535948,0.11764706,0.2624113475177305,1.3428577282966518,0.2830188679245283,0.73979592,110.6190465107,117.36949708931033,102.84555763532151,4.885716415717606,5.186212007172639,-0.30049559145503313,4.5174871259432905,4.163314517896182,"Buddy Boshers",8490,542953
"Aníbal Sánchez","DET",8.886075413011273,2.4778479517050664,3.5862069,2.2215188532528183,0.21576763,0.06016598,0.15560166,0.30957683741648107,1.5949366125917668,0.3542319749216301,0.67109145,144.8122224332343,119.92643304986046,100.22074467987757,6.408227461306206,5.331690195901453,1.0765372654047525,4.402628704774138,4.157941903836551,"Anibal Sanchez",3284,434671
"Robby Scott","BOS",7.822432974227574,3.2803751182244665,2.38461538,1.7663558328900975,0.21985816,0.09219858,0.12765958,0.176,0.9813087960500542,0.1724137931034483,0.78014184,82.73768821808495,122.4964111455475,107.24878853382816,3.785048213335923,5.316519045523986,-1.531470832188063,4.710166816889179,4.152506528874982,"Robby Scott",13042,582494
"Mike Leake","- - -",6.290322322627147,1.7903225072092648,3.51351351,0.9677418957887918,0.16624041,0.04731458,0.11892583,0.27309782608695654,1.2795698399874025,0.30887372013651876,0.70319635,93.56971059170458,92.03971659107553,90.17475100691651,3.919354677944607,3.8995751476519405,0.019779530292666436,3.9075564696297374,4.150662644590402,"Mike Leake",10130,502190
"Danny Barnes","TOR",8.454547409184174,3.272728029361616,2.58333333,1.5000003467907408,0.23396226,0.09056604,0.14339623,0.2,1.0909093431205388,0.2215568862275449,0.81597222,81.238953298926,102.97335959177003,111.46731378961405,3.5454553651417506,4.581882447732348,-1.0364270825905977,4.8947640277254125,4.148012682559473,"Danny Barnes",11388,592130
"Jake Arrieta","CHC",8.714850958502684,2.9405938817033594,2.96363636,1.2297028959850411,0.23055163,0.07779349,0.15275813,0.2336448598130841,1.2178217085842196,0.27850877192982454,0.72757112,81.62070293583766,96.02385330366575,95.13877366886432,3.5287126580440313,4.155659435882887,-0.6269467778388558,4.11243706046281,4.145481303238347,"Jake Arrieta",4153,453562
"Chase Anderson","MIL",8.469339927433658,2.610849150562256,3.24390244,0.8915094660456483,0.23374341,0.07205624,0.16168717,0.21689059500959693,1.0896226807224592,0.2647058823529412,0.80622348,62.47966094521955,82.23528554079024,100.22822803361242,2.738207645711634,3.582168011378462,-0.843960365666828,4.333346956572029,4.144414188469945,"Chase Anderson",6895,502624
