Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Jackson Stephens","CIN",0.203125,0.78125,0.173913043,0.36231884,0.463768115,0.15625,0.1875,16,5.76,150,264,414,0.31428571,0.41428571,0.27142857,0.2,0.51428571,0.28571429,"Jackson Stephens",14420,623451
"Jhoulys Chacín","SDP",0.27218934911242604,1.520958083,0.185686653,0.491295938,0.323017408,0.119760479,0.113772455,77,3.8428839825342407,1093,1844,2937,0.37642586,0.36692015,0.25665399,0.20152091,0.51330798,0.2851711,"Jhoulys Chacin",2608,468504
"Casey Lawrence","- - -",0.37714285714285717,1.592592592,0.243243243,0.464864864,0.291891891,0.074074074,0.203703703,31,5.042168986098258,365,608,973,0.46236559,0.31182796,0.22580645,0.19892473,0.51612903,0.28494624,"Casey Lawrence",11121,596271
"Drew Storen","CIN",0.31645569620253167,1.547169811,0.176829268,0.5,0.323170731,0.037735849,0.132075471,46,7.573172140944345,311,598,909,0.46060606,0.28484848,0.25454545,0.2,0.51515152,0.28484848,"Drew Storen",6983,519322
"Luis Severino","NYY",0.27157894736842103,1.653333333,0.187755102,0.506122448,0.306122448,0.12,0.14,134,6.2379311985918555,1031,2051,3082,0.40808081,0.36363636,0.22828283,0.19393939,0.52121212,0.28484848,"Luis Severino",15890,622663
"Chad Bettis","COL",0.29333333333333333,1.48,0.189542483,0.48366013,0.326797385,0.04,0.16,21,4.079136802594762,264,472,736,0.4556962,0.29113924,0.25316456,0.1835443,0.53164557,0.28481013,"Chad Bettis",10587,518452
"Andrew Cashner","TEX",0.2660377358490566,1.511494252,0.192236598,0.486136783,0.321626617,0.097701149,0.086206896,100,5.399999835205083,1008,1628,2636,0.40733945,0.33761468,0.25504587,0.1853211,0.53027523,0.28440367,"Andrew Cashner",8782,488768
"Chris Stratton","SFG",0.3157894736842105,1.48,0.283236994,0.427745664,0.289017341,0.06,0.1,26,3.9886356936383978,392,650,1042,0.375,0.34659091,0.27840909,0.21022727,0.50568182,0.28409091,"Chris Stratton",13761,608717
"Jon Gray","COL",0.3355048859934853,1.711111111,0.225396825,0.488888888,0.285714285,0.111111111,0.111111111,100,8.157098945816,648,1185,1833,0.40694006,0.33753943,0.2555205,0.22712934,0.48895899,0.28391167,"Jon Gray",14916,592351
"Kenta Maeda","LAD",0.27808988764044945,0.952380952,0.217983651,0.381471389,0.400544959,0.1292517,0.149659863,93,6.230769466684856,747,1434,2181,0.38095238,0.34656085,0.27248677,0.20899471,0.50793651,0.28306878,"Kenta Maeda",18498,628317
"Boone Logan","CLE",0.35294117647058826,1.857142857,0.23076923,0.5,0.269230769,0.142857142,0.142857142,9,3.857144959120047,130,233,363,0.37735849,0.45283019,0.16981132,0.16981132,0.54716981,0.28301887,"Boone Logan",5525,457429
"Matt Strahm","KCR",0.27906976744186046,0.846153846,0.191011235,0.370786516,0.438202247,0.128205128,0.153846153,20,5.192308358892267,251,396,647,0.35869565,0.33695652,0.30434783,0.22826087,0.48913043,0.2826087,"Matt Strahm",13799,621381
"Brad Ziegler","MIA",0.345679012345679,4.08,0.201257861,0.641509433,0.157232704,0.2,0.04,12,2.297872526929533,251,446,697,0.49079755,0.33742331,0.17177914,0.27607362,0.44171779,0.28220859,"Brad Ziegler",7293,446899
"Pedro Strop","CHC",0.26973684210526316,1.956521739,0.105263157,0.592105263,0.302631578,0.086956521,0.086956521,40,5.966851709017295,403,616,1019,0.3974359,0.32692308,0.27564103,0.22435897,0.49358974,0.28205128,"Pedro Strop",4070,467008
"Dan Otero","CLE",0.30158730158730157,5.304347826,0.244791666,0.635416666,0.119791666,0.086956521,0.260869565,31,4.650001773834905,255,594,849,0.40512821,0.34871795,0.24615385,0.25128205,0.46666667,0.28205128,"Dan Otero",7385,519096
"Jarred Cosart","SDP",0.3333333333333333,1.772727272,0.207792207,0.506493506,0.285714285,0.09090909,0,9,3.3749992037193866,215,270,485,0.41025641,0.34615385,0.24358974,0.17948718,0.53846154,0.28205128,"Jarred Cosart",10304,543054
"Anthony Swarzak","- - -",0.2857142857142857,1.078947368,0.155080213,0.438502673,0.406417112,0.144736842,0.078947368,40,4.655174097748956,422,837,1259,0.36170213,0.36702128,0.2712766,0.19148936,0.52659574,0.28191489,"Anthony Swarzak",7466,461872
"Chris Devenski","HOU",0.22033898305084745,0.888888888,0.154696132,0.397790055,0.447513812,0.12345679,0.135802469,37,4.128100474996165,438,832,1270,0.43085106,0.32978723,0.2393617,0.20212766,0.51595745,0.28191489,"Chris Devenski",12763,606965
"Wandy Peralta","CIN",0.26011560693641617,1.830188679,0.162011173,0.541899441,0.296089385,0.132075471,0.150943396,55,7.654643991777238,376,641,1017,0.40883978,0.35359116,0.23756906,0.21546961,0.50276243,0.28176796,"Wandy Peralta",14295,593974
"Daniel Hudson","PIT",0.3125,1.20338983,0.207317073,0.432926829,0.359756097,0.06779661,0.118644067,26,3.7945952205505735,428,673,1101,0.38922156,0.37125749,0.23952096,0.20958084,0.50898204,0.28143713,"Daniel Hudson",7146,543339
"Cody Allen","CLE",0.3037974683544304,0.72368421,0.201219512,0.335365853,0.463414634,0.105263157,0.118421052,9,1.2029706605123873,429,736,1165,0.28143713,0.40718563,0.31137725,0.22155689,0.49700599,0.28143713,"Cody Allen",12183,592102
"Jon Lester","CHC",0.3103448275862069,1.424242424,0.214145383,0.461689587,0.324165029,0.072727272,0.157575757,121,6.027675107057153,1186,1945,3131,0.38535645,0.37572254,0.238921,0.21387283,0.50481696,0.28131021,"Jon Lester",4930,452657
"Mike Foltynewicz","ATL",0.3239130434782609,1.088757396,0.244111349,0.394004282,0.361884368,0.076923076,0.118343195,75,4.383117317409497,1040,1730,2770,0.34791667,0.41458333,0.2375,0.15833333,0.56041667,0.28125,"Mike Foltynewicz",10811,592314
"Seunghwan Oh","STL",0.31868131868131866,0.580645161,0.218085106,0.287234042,0.494680851,0.064516129,0.107526881,3,0.4550562187843082,313,717,1030,0.33854167,0.38020833,0.28125,0.22395833,0.49479167,0.28125,"Seunghwan Oh",18719,493200
"Michael Wacha","STL",0.3269230769230769,1.551020408,0.210526315,0.48,0.309473684,0.081632653,0.115646258,97,5.269617544450739,936,1754,2690,0.42268041,0.29896907,0.27835052,0.20206186,0.51752577,0.28041237,"Michael Wacha",14078,608379
"Lance McCullers Jr.","HOU",0.3302180685358255,3.142857142,0.191950464,0.613003095,0.195046439,0.031746031,0.126984126,55,4.171348940376594,747,1267,2014,0.46808511,0.32826748,0.20364742,0.20668693,0.51367781,0.27963526,"Lance McCullers Jr.",14120,621121
