Name,Team,W,L,ERA,G,GS,QS,CG,ShO,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,WP,BK,SO,NameASCII,PlayerId,MLBAMID
"Corbin Burnes","MIL",4,1,2.111731731066798,12,9,4,0,0,0,0,0,59.2,240,37,15,14,2,24,0,3,5,0,88,"Corbin Burnes",19361,669203
"Carlos Carrasco","CLE",3,4,2.9117650325735913,12,12,9,0,0,0,0,0,68,280,55,22,22,8,27,0,2,6,0,82,"Carlos Carrasco",6632,471911
"Zac Gallen","ARI",3,2,2.75,12,12,9,0,0,0,0,0,72,291,55,24,22,9,25,0,2,4,0,82,"Zac Gallen",19291,668678
"Kenta Maeda","MIN",6,1,2.6999997940063634,11,11,8,0,0,0,0,0,66.2,248,40,20,20,9,10,0,0,0,0,80,"Kenta Maeda",18498,628317
"Kevin Gausman","SFG",3,3,3.6201121175874804,12,10,4,0,0,0,0,0,59.2,245,50,26,24,8,16,0,0,4,1,79,"Kevin Gausman",14107,592332
"Framber Valdez","HOU",5,3,3.5660381529330847,11,10,6,0,0,0,0,0,70.2,288,63,32,28,5,16,0,5,6,1,76,"Framber Valdez",17295,664285
"Germán Márquez","COL",4,6,3.7469385421479804,13,13,9,0,0,0,0,0,81.2,344,78,41,34,6,25,0,0,4,0,73,"German Marquez",15038,608566
"Sonny Gray","CIN",5,3,3.6964288232278024,11,11,5,0,0,0,0,0,56,235,42,26,23,4,26,0,2,7,1,72,"Sonny Gray",12768,543243
"Dylan Bundy","LAA",6,3,3.2893398467444523,11,11,6,1,0,0,0,0,65.2,267,51,27,24,5,17,1,4,2,0,72,"Dylan Bundy",12917,605164
"Hyun Jin Ryu","TOR",5,2,2.6865671641791047,12,12,7,0,0,0,0,0,67,275,60,22,20,6,17,0,1,1,0,72,"Hyun Jin Ryu",14444,547943
"Zach Eflin","PHI",4,2,3.966101807104178,11,10,3,1,1,0,0,0,59,245,60,28,26,8,15,0,1,1,0,70,"Zach Eflin",13774,621107
"Andrew Heaney","LAA",4,3,4.45499864044231,12,12,4,0,0,0,0,0,66.2,279,63,35,33,9,19,1,2,2,0,70,"Andrew Heaney",15423,571760
"Aaron Civale","CLE",4,6,4.743243243243243,12,12,7,1,0,0,0,0,74,312,82,39,39,11,16,0,3,0,1,69,"Aaron Civale",19479,650644
"Robbie Ray","- - -",2,5,6.6193544619835345,12,11,0,0,0,0,0,0,51.2,251,53,40,38,13,45,1,1,6,0,68,"Robbie Ray",11486,592662
"José Berríos","MIN",5,4,4,12,12,4,0,0,0,0,0,63,271,57,28,28,8,26,0,3,5,0,68,"Jose Berrios",14168,621244
"Zack Greinke","HOU",3,3,4.029850746268656,12,12,5,0,0,0,0,0,67,273,67,30,30,6,9,0,1,3,0,67,"Zack Greinke",1943,425844
"Kyle Hendricks","CHC",6,5,2.8770493602470872,12,12,9,1,1,0,0,0,81.1,315,73,26,26,10,8,1,1,1,0,64,"Kyle Hendricks",12049,543294
"Marco Gonzales","SEA",7,2,3.100478921622525,11,11,6,1,0,0,0,0,69.2,277,59,27,24,8,7,0,4,0,0,64,"Marco Gonzales",15467,594835
"Zach Davies","SDP",7,4,2.725961138510904,12,12,6,0,0,0,0,0,69.1,276,55,26,21,9,19,0,0,2,0,63,"Zach Davies",13183,605200
"Blake Snell","TBR",4,2,3.24,11,11,0,0,0,0,0,0,50,203,42,19,18,10,18,0,0,7,0,63,"Blake Snell",13543,605483
"Clayton Kershaw","LAD",6,2,2.16000018833707,10,10,6,0,0,0,0,0,58.1,221,41,18,14,8,8,0,1,0,0,62,"Clayton Kershaw",2036,477132
"Mike Minor","- - -",1,6,5.558823217570181,12,11,2,1,1,0,0,0,56.2,239,50,36,35,11,20,0,1,0,0,62,"Mike Minor",10021,501985
"Brady Singer","KCR",4,5,4.056994177152141,12,12,3,0,0,0,0,0,64.1,263,52,29,29,8,23,0,2,5,1,61,"Brady Singer",25377,663903
"Patrick Corbin","WSN",2,7,4.659899199029634,11,11,6,0,0,0,0,0,65.2,295,85,35,34,10,18,1,0,1,1,60,"Patrick Corbin",9323,571578
"Frankie Montas","OAK",3,5,5.60377358490566,11,11,3,0,0,0,0,0,53,237,57,35,33,10,23,0,1,2,0,60,"Frankie Montas",14309,593423
"Matthew Boyd","DET",3,7,6.712706474946325,12,12,3,1,0,0,0,0,60.1,271,67,46,45,15,22,0,5,5,0,60,"Matthew Boyd",15440,571510
"Tyler Mahle","CIN",2,2,3.5874123661096986,10,9,4,0,0,0,0,0,47.2,201,34,21,19,6,21,0,4,2,1,60,"Tyler Mahle",16358,641816
"Pablo López","MIA",6,4,3.610465196353673,11,11,4,0,0,0,0,0,57.1,240,50,27,23,4,18,1,2,0,0,59,"Pablo Lopez",17085,641154
"Jesús Luzardo","OAK",3,2,4.118643402060266,12,9,4,0,0,0,0,0,59,248,58,27,27,9,17,1,3,3,1,59,"Jesus Luzardo",19959,666200
"Kyle Gibson","TEX",2,6,5.346535057334904,12,12,4,1,1,0,0,0,67.1,301,73,44,40,12,30,1,6,1,0,58,"Kyle Gibson",10123,502043
"Chris Paddack","SDP",4,5,4.728812642085322,12,12,5,0,0,0,0,0,59,245,60,33,31,14,12,0,2,0,0,58,"Chris Paddack",20099,663978
"Danny Duffy","KCR",4,4,4.952661746330661,12,11,1,0,0,0,1,0,56.1,242,53,33,31,10,22,0,2,3,0,57,"Danny Duffy",3542,518633
"Zach Plesac","CLE",4,2,2.2771081720940267,8,8,6,0,0,0,0,0,55.1,206,38,14,14,8,6,0,1,0,0,57,"Zach Plesac",19979,668676
"Johnny Cueto","SFG",2,3,5.399999457911496,12,12,3,0,0,0,0,0,63.1,277,61,41,38,9,26,0,3,1,2,56,"Johnny Cueto",6893,456501
"Lance McCullers Jr.","HOU",3,3,3.9272719101079954,11,11,5,0,0,0,0,0,55,227,44,29,24,5,20,0,5,0,0,56,"Lance McCullers Jr.",14120,621121
"Griffin Canning","LAA",2,3,3.994081578065272,11,11,3,0,0,0,0,0,56.1,238,54,29,25,8,23,0,1,5,0,56,"Griffin Canning",19867,656288
"Chris Bassitt","OAK",5,2,2.2857140089108894,11,11,5,0,0,0,0,0,63,261,56,18,16,6,17,0,2,2,0,55,"Chris Bassitt",12304,605135
"Joe Musgrove","PIT",1,5,3.8571427334972115,8,8,2,0,0,0,0,0,39.2,166,33,17,17,5,16,0,2,1,0,55,"Joe Musgrove",12970,605397
"Luke Weaver","ARI",1,9,6.576924524364,12,12,0,0,0,0,0,0,52,236,63,39,38,10,18,0,1,0,0,55,"Luke Weaver",16918,596133
"Adam Wainwright","STL",5,3,3.1522840197967668,10,10,7,2,0,0,0,0,65.2,262,54,25,23,9,15,0,2,0,0,54,"Adam Wainwright",2233,425794
"Rick Porcello","NYM",1,7,5.6440677966101696,12,12,4,0,0,0,0,0,59,261,74,41,37,5,15,0,2,1,0,54,"Rick Porcello",2717,519144
"Cristian Javier","HOU",5,2,3.4785264676481247,12,10,3,0,0,0,0,0,54.1,214,36,21,21,11,18,0,2,4,2,54,"Cristian Javier",17606,664299
"Zack Wheeler","PHI",4,2,2.9154926444585403,11,11,7,0,0,0,0,0,71,288,67,26,23,3,16,2,7,0,0,53,"Zack Wheeler",10310,554430
"Devin Williams","MIL",4,1,0.33333338042836796,22,0,0,0,0,0,9,0,27,100,8,4,1,1,9,0,1,3,0,53,"Devin Williams",15816,642207
"James Karinchak","CLE",1,2,2.6666672318071223,27,0,0,0,0,1,8,3,27,109,14,9,8,1,16,1,0,5,0,53,"James Karinchak",20151,675916
"Josh Lindblom","MIL",2,4,5.161765285016821,12,10,0,0,0,0,0,0,45.1,191,42,26,26,6,16,0,3,2,0,52,"Josh Lindblom",7882,458676
"Nathan Eovaldi","BOS",4,2,3.7241383229368354,9,9,4,0,0,0,0,0,48.1,199,51,20,20,8,7,0,4,2,0,52,"Nathan Eovaldi",9132,543135
"Spencer Turnbull","DET",4,4,3.9705878789037476,11,11,4,0,0,0,0,0,56.2,242,47,25,25,2,29,1,2,0,0,51,"Spencer Turnbull",16207,605513
"Taijuan Walker","- - -",4,3,2.6999996781349567,11,11,5,0,0,0,0,0,53.1,225,43,23,16,8,19,0,4,1,0,50,"Taijuan Walker",11836,592836
"Max Fried","ATL",7,0,2.25,11,11,4,0,0,0,0,0,56,224,42,14,14,2,19,0,4,1,1,50,"Max Fried",13743,608331
"Edwin Díaz","NYM",2,1,1.7532470572516057,26,0,0,0,0,6,2,3,25.2,110,18,6,5,2,14,0,2,1,0,50,"Edwin Diaz",14710,621242
"Trevor Williams","PIT",2,8,6.180722181398072,11,11,1,0,0,0,0,0,55.1,252,66,42,38,15,21,0,4,1,0,49,"Trevor Williams",16977,592866
"Jack Flaherty","STL",4,3,4.909090135260632,9,9,2,0,0,0,0,0,40.1,170,33,22,22,6,16,0,3,1,0,49,"Jack Flaherty",17479,656427
"Kris Bubic","KCR",1,6,4.320000988769758,10,10,2,0,0,0,0,0,50,222,52,29,24,8,22,1,2,0,0,49,"Kris Bubic",21455,663460
"Justus Sheffield","SEA",4,3,3.578312841862042,10,10,6,0,0,0,0,0,55.1,232,52,23,22,2,20,0,3,1,0,48,"Justus Sheffield",17285,656954
"JT Brubaker","PIT",1,3,4.943662503058474,11,9,1,0,0,0,1,0,47.1,205,48,27,26,6,17,0,3,4,0,48,"JT Brubaker",17578,664141
"Seth Lugo","NYM",3,4,5.1545464823858875,16,7,1,0,0,3,0,2,36.2,160,40,22,21,8,10,1,2,1,0,47,"Seth Lugo",12447,607625
"Jordan Montgomery","NYY",2,3,5.113635920296069,10,10,1,0,0,0,0,0,44,193,48,27,25,7,9,0,2,3,0,47,"Jordan Montgomery",16511,656756
"Freddy Peralta","MIL",3,1,3.9886354991229016,15,1,0,0,0,0,3,1,29.1,125,22,14,13,2,12,0,3,2,1,47,"Freddy Peralta",18679,642547
"Yusei Kikuchi","SEA",2,4,5.170211507055849,9,9,3,0,0,0,0,0,47,194,41,27,27,3,20,0,0,3,0,47,"Yusei Kikuchi",20633,579328
"Martín Pérez","BOS",3,5,4.499999446253691,12,12,3,0,0,0,0,0,62,262,55,33,31,8,28,0,3,2,0,46,"Martin Perez",6902,527048
"Garrett Richards","SDP",2,2,4.03246733269296,14,10,3,0,0,0,1,0,51.1,213,47,23,23,7,17,0,2,3,0,46,"Garrett Richards",9784,572070
"Vince Velasquez","PHI",1,1,5.5588235294117645,9,7,1,0,0,0,0,0,34,154,36,21,21,5,17,1,3,0,0,46,"Vince Velasquez",11189,592826
"Alec Mills","CHC",5,5,4.475935372343892,11,11,5,1,1,0,0,0,62.1,252,53,31,31,13,19,0,2,0,1,46,"Alec Mills",13834,621219
"Kyle Freeland","COL",2,3,4.330189302579671,13,13,9,0,0,0,0,0,70.2,304,77,34,34,9,23,0,3,0,0,46,"Kyle Freeland",16256,607536
"Logan Webb","SFG",3,4,5.466258660146903,13,11,1,0,0,0,0,0,54.1,246,61,38,33,4,24,1,7,3,0,46,"Logan Webb",17995,657277
"Tony Gonsolin","LAD",2,2,2.3142854620486166,9,8,3,0,0,0,0,0,46.2,176,32,13,12,2,7,0,1,3,0,46,"Tony Gonsolin",19388,664062
"Derek Holland","PIT",1,3,6.860655201407323,12,5,0,0,0,0,0,1,40.2,179,42,33,31,12,15,0,3,2,1,45,"Derek Holland",4141,502706
"Julio Urías","LAD",3,0,3.272727272727273,11,10,4,0,0,0,0,0,55,224,45,20,20,5,18,0,0,2,0,45,"Julio Urias",14765,628711
"Sean Manaea","OAK",4,3,4.5,11,11,2,0,0,0,0,0,54,222,57,32,27,7,8,0,1,1,0,45,"Sean Manaea",15873,640455
"Daniel Ponce de Leon","STL",1,3,4.959183340176174,9,8,2,0,0,0,0,0,32.2,143,23,18,18,8,20,0,2,0,0,45,"Daniel Ponce de Leon",16110,594965
"Tejay Antone","CIN",0,3,2.801887347037132,13,4,0,0,0,0,1,1,35.1,141,20,11,11,4,16,0,2,2,0,45,"Tejay Antone",16233,622088
"Adrian Houser","MIL",1,6,5.303571428571429,12,11,1,0,0,0,0,0,56,246,63,41,33,8,21,0,4,1,0,44,"Adrian Houser",12718,605288
"Chad Kuhl","PIT",2,3,4.273381764076482,11,9,2,0,0,0,0,0,46.1,197,35,26,22,8,28,0,2,1,0,44,"Chad Kuhl",14975,641771
"Austin Voth","WSN",2,5,6.34228122969442,11,11,1,1,0,0,0,0,49.2,225,57,36,35,14,18,2,4,1,0,44,"Austin Voth",15047,608723
"Masahiro Tanaka","NYY",3,3,3.5625,10,10,2,0,0,0,0,0,48,197,48,25,19,9,8,0,2,0,0,44,"Masahiro Tanaka",15764,547888
"Ryan Yarbrough","TBR",1,4,3.5568866337858,11,9,3,0,0,0,0,0,55.2,234,54,22,22,5,12,1,7,2,0,44,"Ryan Yarbrough",16502,642232
"Dylan Cease","CHW",5,4,4.011428921197416,12,12,4,0,0,0,0,0,58.1,255,50,30,26,12,34,1,5,1,0,44,"Dylan Cease",18525,656302
"Dustin May","LAD",3,1,2.571429009340322,12,10,3,0,0,0,0,0,56,224,45,18,16,9,16,0,1,2,0,44,"Dustin May",19716,669160
"Aníbal Sánchez","WSN",4,5,6.622642462768909,11,11,1,0,0,0,0,0,53,245,70,40,39,11,18,2,3,0,2,43,"Anibal Sanchez",3284,434671
"Tyler Matzek","ATL",4,3,2.7931049179103025,21,0,0,0,0,0,1,2,29,121,23,9,9,1,10,0,2,1,0,43,"Tyler Matzek",10058,554431
"Mike Mayers","LAA",2,0,2.100000534057753,29,0,0,0,0,2,5,2,30,121,18,10,7,2,9,0,1,0,0,43,"Mike Mayers",15451,594577
"Charlie Morton","TBR",2,2,4.7368421052631575,9,9,0,0,0,0,0,0,38,170,43,21,20,4,10,0,4,1,0,42,"Charlie Morton",4676,450203
"Jon Lester","CHC",3,3,5.163934426229508,12,12,4,0,0,0,0,0,61,265,64,35,35,11,17,0,3,2,0,42,"Jon Lester",4930,452657
"J.A. Happ","NYY",2,2,3.466216573582889,9,9,3,0,0,0,0,0,49.1,196,37,19,19,8,15,0,1,0,0,42,"J.A. Happ",7410,457918
"Dallas Keuchel","CHW",6,2,1.9894738439840092,11,11,5,0,0,0,0,0,63.1,257,52,15,14,2,17,0,0,0,0,42,"Dallas Keuchel",9434,572971
"Drew Smyly","SFG",0,1,3.4177219315688134,7,5,0,0,0,0,0,0,26.1,111,20,11,10,2,9,0,0,1,0,42,"Drew Smyly",11760,592767
"John Means","BAL",2,4,4.53435140911722,10,10,3,0,0,0,0,0,43.2,176,36,22,22,12,7,0,4,2,0,42,"John Means",16269,607644
"Triston McKenzie","CLE",2,1,3.240000308990508,8,6,2,0,0,0,0,0,33.1,127,21,12,12,6,9,0,1,0,0,42,"Triston McKenzie",18000,663474
"Walker Buehler","LAD",1,0,3.4363624446652343,8,8,1,0,0,0,0,0,36.2,147,24,18,14,7,11,0,1,4,0,42,"Walker Buehler",19374,621111
"Tanner Roark","TOR",2,3,6.797203703820783,11,11,0,0,0,0,0,0,47.2,220,60,39,36,14,23,0,2,2,0,41,"Tanner Roark",8753,543699
"Tyler Anderson","SFG",4,3,4.374300603931428,13,11,3,1,0,0,0,0,59.2,260,58,32,29,5,25,0,4,1,0,41,"Tyler Anderson",12880,542881
"Antonio Senzatela","COL",5,3,3.436364232213147,12,12,6,1,0,0,0,0,73.1,303,71,29,28,9,18,0,4,0,0,41,"Antonio Senzatela",15488,622608
"Ian Anderson","ATL",3,2,1.9484532251155056,6,6,3,0,0,0,0,0,32.1,138,21,11,7,1,14,0,2,4,0,41,"Ian Anderson",19951,666120
"Tommy Milone","- - -",1,4,6.692309328790647,9,9,2,0,0,0,0,0,39,181,55,34,29,9,6,0,2,1,0,40,"Tommy Milone",7608,543548
"Mike Clevinger","- - -",3,2,3.0239997692871268,8,8,4,1,1,0,0,0,41.2,162,34,14,14,6,14,0,0,2,0,40,"Mike Clevinger",12808,605182
"Ross Stripling","- - -",3,3,5.837838496144872,12,9,1,0,0,1,0,0,49.1,220,56,37,32,13,18,0,1,1,0,40,"Ross Stripling",13273,548389
"Taylor Clarke","ARI",3,0,4.361537821617446,12,5,0,0,0,0,0,0,43.1,183,35,23,21,8,21,2,0,0,0,40,"Taylor Clarke",17611,664199
"David Peterson","NYM",6,2,3.4429526675483992,10,9,3,0,0,0,0,0,49.2,205,36,20,19,5,24,0,3,1,0,40,"David Peterson",20302,656849
"Chris Stratton","PIT",2,1,3.9000009918215413,27,0,0,0,0,0,5,2,30,131,26,19,13,3,13,0,0,1,0,39,"Chris Stratton",13761,608717
"Scott Barlow","KCR",2,1,4.200000801086579,32,0,0,0,0,2,7,0,30,125,27,14,14,4,9,2,2,2,0,39,"Scott Barlow",14993,605130
"Pete Fairbanks","TBR",6,3,2.7000010299686545,27,2,0,0,0,0,7,2,26.2,117,23,9,8,2,14,0,2,6,0,39,"Pete Fairbanks",17998,664126
"Alex Young","ARI",2,4,5.4388501895994175,15,7,0,0,0,0,1,0,46.1,204,51,30,28,11,14,0,1,1,0,39,"Alex Young",18333,622065
"Sandy Alcantara","MIA",3,2,3,7,7,6,0,0,0,0,0,42,172,35,22,14,4,15,0,1,1,1,39,"Sandy Alcantara",18684,645261
"Trevor Rogers","MIA",1,2,6.107142857142857,7,7,1,0,0,0,0,0,28,130,32,20,19,5,13,0,2,0,1,39,"Trevor Rogers",22286,669432
"Trevor May","MIN",1,0,3.857144959120047,24,0,0,0,0,2,8,0,23.1,96,20,11,10,5,7,0,0,2,0,38,"Trevor May",6398,543507
"Alex Cobb","BAL",2,5,4.299363475178856,10,10,2,0,0,0,0,0,52.1,226,52,27,25,8,18,0,2,1,0,38,"Alex Cobb",6562,502171
"Chase Anderson","TOR",1,2,7.217818953830544,10,7,0,0,0,0,0,0,33.2,154,45,29,27,11,10,0,1,1,0,38,"Chase Anderson",6895,502624
"Trevor Rosenthal","- - -",1,0,1.9014090381193547,23,0,0,0,0,11,1,1,23.2,91,12,6,5,2,8,0,1,0,1,38,"Trevor Rosenthal",10745,572096
"Brent Suter","MIL",2,0,3.12631453411121,16,4,0,0,0,0,2,0,31.2,129,30,13,11,4,5,0,1,0,0,38,"Brent Suter",13942,608718
"Steven Brault","PIT",1,3,3.3749995976686957,11,10,2,1,0,0,0,0,42.2,178,29,17,16,2,22,0,5,3,0,38,"Steven Brault",15291,643230
"Miguel Castro","- - -",2,2,4.013515789376011,26,0,0,0,0,1,5,2,24.2,115,28,12,11,4,13,0,1,0,0,38,"Miguel Castro",15684,612434
"Justin Dunn","SEA",4,1,4.335765940448629,10,10,4,0,0,0,0,0,45.2,198,31,23,22,10,31,1,2,0,0,38,"Justin Dunn",19268,643290
"Liam Hendriks","OAK",3,1,1.7763160123719683,24,0,0,0,0,14,0,1,25.1,92,14,6,5,1,3,1,0,0,0,37,"Liam Hendriks",3548,521230
"Mike Fiers","OAK",6,3,4.576271186440678,11,11,4,0,0,0,0,0,59,257,65,31,30,9,16,0,4,1,0,37,"Mike Fiers",7754,571666
"Michael Wacha","NYM",1,4,6.617647058823529,8,7,0,0,0,0,0,0,34,156,46,26,25,9,7,0,2,2,0,37,"Michael Wacha",14078,608379
"Josh Staumont","KCR",2,1,2.4545456977493183,26,0,0,0,0,0,8,0,25.2,112,20,8,7,2,16,0,3,1,0,37,"Josh Staumont",18335,622251
"Tarik Skubal","DET",1,4,5.625,8,7,2,0,0,0,0,0,32,134,28,21,20,9,11,0,2,0,0,37,"Tarik Skubal",22267,669373
"Jordan Lyles","TEX",1,6,7.023122161592049,12,9,1,0,0,0,0,0,57.2,266,67,49,45,12,23,0,2,3,1,36,"Jordan Lyles",7593,543475
"Josh Tomlin","ATL",2,2,4.764707791588003,17,5,1,0,0,0,1,0,39.2,163,40,22,21,6,8,2,1,1,0,36,"Josh Tomlin",9388,458708
"Steven Matz","NYM",0,5,9.684784616550075,9,6,1,0,0,0,0,0,30.2,142,42,33,33,14,10,0,0,2,0,36,"Steven Matz",13361,571927
"Nick Margevicius","SEA",2,3,4.57258120783913,10,7,3,0,0,0,0,1,41.1,170,38,21,21,6,14,2,0,2,0,36,"Nick Margevicius",20395,676606
"Matt Wisler","MIN",0,1,1.0657895271797946,18,4,0,0,0,1,3,1,25.1,107,15,3,3,2,14,0,2,1,1,35,"Matt Wisler",12804,605538
"Michael Lorenzen","CIN",3,1,4.277228045867924,18,2,0,0,0,0,2,1,33.2,147,30,17,16,3,17,1,1,2,1,35,"Michael Lorenzen",14843,547179
"Brad Keller","KCR",5,3,2.4695119653551085,9,9,5,1,1,0,0,0,54.2,215,39,16,15,2,17,0,2,1,0,35,"Brad Keller",15734,641745
"Keegan Akin","BAL",1,2,4.558442856976716,8,6,0,0,0,0,0,0,25.2,116,27,17,13,3,10,0,1,0,1,35,"Keegan Akin",19362,669211
"Dane Dunning","CHW",2,0,3.9705882352941178,7,7,2,0,0,0,0,0,34,142,25,17,15,4,13,0,2,5,0,35,"Dane Dunning",19409,641540
"José Cisnero","DET",3,3,3.033708710364293,29,0,0,0,0,0,6,2,29.2,123,23,10,10,1,10,0,3,0,0,34,"Jose Cisnero",6399,542585
"Gio Gonzalez","CHW",1,2,4.831578171325977,12,4,0,0,0,0,0,0,31.2,153,40,19,17,6,19,0,2,2,0,34,"Gio Gonzalez",7448,461829
"Chasen Shreve","NYM",1,0,3.9600039276162002,17,0,0,0,0,0,1,0,25,102,17,12,11,4,12,0,0,0,0,34,"Chasen Shreve",10855,592741
"Lucas Sims","CIN",3,0,2.454545880152248,20,0,0,0,0,0,5,2,25.2,103,13,10,7,3,11,0,3,0,0,34,"Lucas Sims",13470,608371
"Richard Rodríguez","PIT",3,2,2.700000147138331,24,0,0,0,0,4,2,1,23.1,93,15,8,7,3,5,0,2,3,0,34,"Richard Rodriguez",13549,593144
"Elieser Hernández","MIA",1,0,3.1558449375709774,6,6,0,0,0,0,0,0,25.2,106,21,10,9,5,5,0,2,0,0,34,"Elieser Hernandez",16933,622694
"Tyler Alexander","DET",2,3,3.963300602373619,14,2,0,0,0,0,0,0,36.1,152,39,16,16,8,9,0,4,0,0,34,"Tyler Alexander",17735,641302
"Kenley Jansen","LAD",3,1,3.328767819081726,27,0,0,0,0,11,0,2,24.1,102,19,11,9,2,9,0,3,0,0,33,"Kenley Jansen",3096,445276
"Jake McGee","LAD",3,1,2.6557378709973114,24,0,0,0,0,0,4,0,20.1,79,14,6,6,2,3,0,0,0,0,33,"Jake McGee",7550,459429
"Matt Andriese","LAA",2,4,4.499998373911373,16,1,0,0,0,2,3,1,32,126,21,17,16,5,11,0,1,0,0,33,"Matt Andriese",12022,542882
"Patrick Sandoval","LAA",1,5,5.6454540560068605,9,6,1,0,0,0,0,0,36.2,159,37,26,23,10,12,0,0,2,0,33,"Patrick Sandoval",19447,663776
"Sixto Sánchez","MIA",3,2,3.4615384615384617,7,7,4,1,0,0,0,0,39,158,36,15,15,3,11,1,2,1,0,33,"Sixto Sanchez",19680,664350
"Deivi García","NYY",3,2,4.980581601970339,6,6,3,0,0,0,0,0,34.1,146,35,20,19,6,6,0,1,0,0,33,"Deivi Garcia",20276,665620
"Jake Arrieta","PHI",4,4,5.075188552189711,9,9,2,0,0,0,0,0,44.1,190,51,25,25,6,16,0,1,4,0,32,"Jake Arrieta",4153,453562
"Brett Anderson","MIL",4,4,4.212765957446808,10,10,4,0,0,0,0,0,47,202,50,24,22,6,10,0,4,0,0,32,"Brett Anderson",8223,474463
"Grant Dayton","ATL",2,1,2.304877834331435,18,0,0,0,0,0,0,0,27.1,117,22,9,7,4,11,1,1,0,0,32,"Grant Dayton",11203,594795
"Chad Green","NYY",3,3,3.5064951568060536,22,0,0,0,0,1,6,2,25.2,100,13,13,10,5,8,2,0,3,0,32,"Chad Green",15552,643338
"Génesis Cabrera","STL",4,1,2.417912030916832,19,0,0,0,0,1,2,0,22.1,96,10,9,6,3,16,0,4,3,0,32,"Genesis Cabrera",17490,650893
"Tanner Rainey","WSN",1,1,2.6557383692352716,20,0,0,0,0,0,9,0,20.1,75,8,6,6,4,7,1,1,3,1,32,"Tanner Rainey",17610,663432
"Phil Maton","CLE",3,3,4.569231707781922,23,0,0,0,0,0,4,1,21.2,96,23,14,11,1,6,1,4,1,0,32,"Phil Maton",18064,664208
"Kolby Allard","TEX",0,6,7.752475393927459,11,8,1,0,0,0,0,0,33.2,152,31,29,29,4,20,0,1,1,0,32,"Kolby Allard",18694,663465
"Rafael Dolis","TOR",2,2,1.5000007152560784,24,0,0,0,0,5,7,1,24,100,16,9,4,1,14,0,1,3,0,31,"Rafael Dolis",4185,503569
"Rich Hill","MIN",2,2,3.0258616709397845,8,8,1,0,0,0,0,0,38.2,156,28,13,13,3,17,0,1,1,0,31,"Rich Hill",4806,448179
"Jake Diekman","OAK",2,0,0.42187517602004004,21,0,0,0,0,0,13,1,21.1,84,8,2,1,1,12,1,1,0,0,31,"Jake Diekman",5003,518617
"Trevor Cahill","SFG",1,2,3.240000123596196,11,6,0,0,0,0,1,0,25,106,16,10,9,3,14,0,2,1,0,31,"Trevor Cahill",6249,502239
"David Phelps","- - -",2,4,6.532260676949679,22,0,0,0,0,0,6,2,20.2,85,19,16,15,7,5,0,1,1,0,31,"David Phelps",6316,475479
"Greg Holland","KCR",3,0,1.9058828233766232,28,0,0,0,0,6,2,0,28.1,112,20,8,6,1,7,1,3,1,0,31,"Greg Holland",7196,518813
