Name,Team,IP,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,Pace,NameASCII,PlayerId,MLBAMID
"Sam Freeman","TEX",38.1,0.24207493,0.57225434,0.40692641,0.48809524,0.86363636,0.75177305,0.4992785,23.756917,"Sam Freeman",6832,518693
"T.J. McFarland","BAL",40.1,0.30793651,0.625,0.47526237,0.70103093,0.90909091,0.84542587,0.52773613,23.73565574,"T.J. McFarland",3237,519008
"Kyle Gibson","MIN",194.2,0.35413246,0.60765896,0.46340704,0.64142195,0.89655172,0.78561828,0.43101837,23.72792869,"Kyle Gibson",10123,502043
"Jesse Hahn","OAK",96.2,0.29211957,0.63104326,0.46714849,0.68837209,0.90120968,0.83684951,0.51642576,23.72668513,"Jesse Hahn",13287,534910
"Ryan Mattheus","- - -",56,0.29805616,0.66029724,0.48072805,0.67391304,0.90032154,0.83073497,0.50428266,23.72439759,"Ryan Mattheus",7169,458919
"Phil Hughes","MIN",155.1,0.28410372,0.65910753,0.51153505,0.79761905,0.91786903,0.89158716,0.60647737,23.70044901,"Phil Hughes",7450,461833
"Joe Thatcher","HOU",22.2,0.20207254,0.67431193,0.45255474,0.61538462,0.78231293,0.74731183,0.53041363,23.69830508,"Joe Thatcher",4620,491159
"Erik Goeddel","NYM",33.1,0.25984252,0.66666667,0.45621181,0.46969697,0.82911392,0.72321429,0.48268839,23.69101124,"Erik Goeddel",11712,592340
"Fernando Abad","OAK",47.2,0.25770308,0.67667436,0.48734177,0.69565217,0.80887372,0.78181818,0.54810127,23.68760611,"Fernando Abad",4994,472551
"Zac Rosscup","CHC",26.2,0.3003413,0.68161435,0.46511628,0.51136364,0.85526316,0.72916667,0.43217054,23.68684211,"Zac Rosscup",9419,573127
"Manny Banuelos","ATL",26.1,0.26778243,0.64502165,0.45319149,0.625,0.91275168,0.82629108,0.49148936,23.68421053,"Manny Banuelos",5365,544365
"AJ Ramos","MIA",70.1,0.33050847,0.62977867,0.46734131,0.40512821,0.8115016,0.65551181,0.45722171,23.68407643,"AJ Ramos",8350,573109
"Christian Friedrich","COL",58.1,0.33805668,0.6659292,0.49471459,0.56287425,0.88039867,0.76709402,0.47780127,23.68195719,"Christian Friedrich",7942,543184
"Ian Kennedy","SDP",168.1,0.29432376,0.63630137,0.46726706,0.61666667,0.8482239,0.77613047,0.50571528,23.67945076,"Ian Kennedy",6986,453178
"Garrett Richards","LAA",207.1,0.29297365,0.61893204,0.45866749,0.4732334,0.88431373,0.75521184,0.50832819,23.64332318,"Garrett Richards",9784,572070
"David Aardsma","ATL",30.2,0.26008969,0.73828125,0.51565762,0.43103448,0.78835979,0.70445344,0.53444676,23.64145658,"David Aardsma",1902,430911
"Brett Oberholtzer","HOU",38.1,0.2681388,0.6231454,0.45107034,0.67058824,0.90952381,0.84067797,0.51529052,23.63053097,"Brett Oberholtzer",3855,519085
"Andrew McKirahan","ATL",27.1,0.2606383,0.66044776,0.49561404,0.63265306,0.86440678,0.81415929,0.5877193,23.62578616,"Andrew McKirahan",12870,605374
"Carlos Frías","LAD",77.2,0.28,0.66943522,0.47918437,0.58385093,0.87841191,0.79432624,0.51146984,23.61771845,"Carlos Frias",3547,516910
