Name,Team,IP,wFA,wFT,wFC,wFS,wFO,wSI,wSL,wCU,wKC,wEP,wCH,wSC,wKN,NameASCII,PlayerId,MLBAMID
"Corey Kluber","CLE",222,2.957705020904541,,,,,-8.902426719665527,16.585912704467773,15.732086181640625,,,1.3102681636810303,,,"Corey Kluber",2429,446372
"Lance Lynn","STL",175.1,20.358478546142578,,,,,-1.240317940711975,-0.38248762488365173,-2.949517011642456,,,-1.7010353803634644,,,"Lance Lynn",2520,458681
"Wandy Rodriguez","TEX",86.1,-1.5749820470809937,,,,,-3.8963693380355835,,-1.811614990234375,,,-3.3422224521636963,,,"Wandy Rodriguez",2586,434643
"Jhoulys Chacín","ARI",26.2,-1.2343239188194275,,-2.146082431077957,,,-3.1082769334316254,5.785894155502319,0.565754234790802,,,0.7086152136325836,,,"Jhoulys Chacin",2608,468504
"Brian Matusz","BAL",49,7.639649391174316,,,,,-2.2573113441467285,2.4126510620117188,-0.39851388335227966,,,-2.1676955223083496,,,"Brian Matusz",2646,451085
"Brett Cecil","TOR",54.1,1.5965068340301514,,-1.5660779476165771,,,1.231582760810852,,9.335444450378418,,,1.2663828134536743,,,"Brett Cecil",2660,446399
"Joba Chamberlain","- - -",27.2,-3.9343592524528503,,,,,-0.0028870217502117157,-3.2287880182266235,-2.422600030899048,,,0.1635497733950615,,,"Joba Chamberlain",2692,501955
"Rick Porcello","BOS",172,-0.6669648885726929,,,,,0.44683220982551575,-1.8931530714035034,-3.7138490676879883,,,-6.982044696807861,,,"Rick Porcello",2717,519144
"Ross Detwiler","- - -",58.1,-5.280033320188522,,,,,-3.241927146911621,-8.993117332458496,0.21401509642601013,,,-5.13725021481514,,,"Ross Detwiler",2859,446321
"Santiago Casilla","SFG",58,-1.1336190700531006,,,,,-1.0037837028503418,-0.637525737285614,,4.907784461975098,,1.6978131532669067,,,"Santiago Casilla",2873,433586
"Luis Avilán","- - -",53.1,3.183906078338623,,-1.46787915751338,,,1.6661449670791626,,-3.308293104171753,,,4.676387250423431,,,"Luis Avilan",2882,501593
"Zach McAllister","CLE",69,3.8073842525482178,,-1.8651368618011475,,,1.1388548910617828,0.011707030236721039,-0.6763415560126305,,,-0.4181271195411682,,,"Zach McAllister",2895,502083
"Jeff Locke","PIT",168.1,-0.4089685380458832,,,,,-7.318563938140869,,,0.2123526632785797,,3.1411335468292236,,,"Jeff Locke",2929,502046
"Kenley Jansen","LAD",52.1,1.664734125137329,,10.931418418884277,,,,0.6234372854232788,,,,,,,"Kenley Jansen",3096,445276
"Tony Watson","PIT",75.1,,,,,,11.149456024169922,1.7928617000579834,,,,7.207389831542969,,,"Tony Watson",3132,453265
"Max Scherzer","WSN",228.2,22.394676208496094,,0.08803623914718628,,,,11.824952125549316,-0.2493637353181839,,,4.7837958335876465,,,"Max Scherzer",3137,453286
"David Price","- - -",220.1,7.957267999649048,,1.483377456665039,,,10.625118017196655,,,1.833776593208313,,12.42728042602539,,,"David Price",3184,456034
"Will Harris","HOU",71,2.6275343894958496,,11.88924789428711,,,,,3.1686432361602783,,,-0.248611181974411,,,"Will Harris",3192,501789
"Chris Young","KCR",123.1,2.893016815185547,,,,,,7.458685874938965,,,,0.8990064710378647,,,"Chris Young",3196,432934
"Ervin Santana","MIN",108,-8.935294151306152,,,,,2.0969557762145996,8.93013858795166,,,,-0.5112663507461548,,,"Ervin Santana",3200,429722
"Francisco Liriano","PIT",186.2,2.074209451675415,,,,,-5.0829386711120605,23.837738037109375,-0.19477009773254395,,,3.197221517562866,,,"Francisco Liriano",3201,434538
"Jean Machi","- - -",58,-2.7926656007766724,,,,,1.0473247542977333,,0.8548257648944855,,,-4.451210141181946,,,"Jean Machi",3220,466948
"T.J. McFarland","BAL",40.1,-1.004827618598938,,,,,-0.7503310441970825,1.30567467212677,,,,-2.6781909465789795,,,"T.J. McFarland",3237,519008
"Zack Britton","BAL",65.2,,,,,,12.825181007385254,3.4169163703918457,,,,,,,"Zack Britton",3240,502154
"Jeff Samardzija","CHW",214,-0.8175438642501831,,5.066400527954102,2.293051242828369,,-5.830658912658691,-10.655817985534668,3.645773410797119,,,,,,"Jeff Samardzija",3254,502188
"Roberto Hernandez","HOU",84.2,-6.046822786331177,,,,,-1.6734563410282135,-3.3127694725990295,,,,6.70485520362854,,,"Roberto Hernandez",3273,433584
"Joe Smith","LAA",65.1,-1.4257694482803345,,,,,2.9779486656188965,5.411284923553467,,,,-0.03617116063833237,,,"Joe Smith",3281,501925
"Aníbal Sánchez","DET",157,-7.165004253387451,,-5.402890205383301,1.3848472833633423,,4.183566093444824,-3.8932676315307617,2.564838409423828,,,-0.20459827780723572,,,"Anibal Sanchez",3284,434671
"Hector Noesí","CHW",32.2,-4.931835412979126,,,,,-0.947126716375351,-2.4387043118476868,-3.0770919620990753,,,2.353031635284424,,,"Hector Noesi",3292,456051
"Chris Hatcher","LAD",39,3.859508752822876,,-2.357314109802246,1.4226933717727661,,-0.1745929718017578,0.29962366819381714,,,,,,,"Chris Hatcher",3299,501822
"Darren O'Day","BAL",65.1,6.388277053833008,,,,,2.603518486022949,4.977900981903076,0.2078382521867752,,,-0.9600360989570618,,,"Darren O'Day",3321,503285
"Matt Garza","MIL",148.2,-7.514732122421265,,,,,-5.575414717197418,-1.359049916267395,-3.779743902385235,,,-1.2850228548049927,,,"Matt Garza",3340,490063
"Cesár Ramos","LAA",52.1,-0.20946159958839417,,,,,-0.18850299715995789,3.3526203632354736,3.1332578659057617,,,-0.8078818917274475,,,"Cesar Ramos",3357,459987
"Ubaldo Jiménez","BAL",184,0.20166730880737305,,0.04987385869026184,3.274247407913208,,0.06462880223989487,-2.630174160003662,-1.0481281280517578,,,,,,"Ubaldo Jimenez",3374,434622
"Jumbo Diaz","CIN",60.1,4.433310031890869,,0.03497004508972168,,,-3.3837504386901855,-1.4274253845214844,,,,-1.155291199684143,,,"Jumbo Diaz",3397,471822
"Danny Duffy","KCR",136.2,8.618788719177246,,0.659515380859375,,,-1.236566185951233,,-3.5302950739860535,,0.4460470676422119,-4.498525977134705,,,"Danny Duffy",3542,518633
"Clay Buchholz","BOS",113.1,2.291231870651245,,8.028079986572266,0.15035758912563324,,-6.6640191078186035,,0.9706597328186035,,,5.830380439758301,,,"Clay Buchholz",3543,453329
"Carlos Frías","LAD",77.2,1.4587060511112213,,5.374098420143127,,,-4.412377804517746,,-2.1261616945266724,,,-1.990272343158722,,,"Carlos Frias",3547,516910
"Liam Hendriks","TOR",64.2,10.578817367553711,,,,,-0.8195559978485107,1.2193931341171265,-1.6238315105438232,,,-0.7763398289680481,,,"Liam Hendriks",3548,521230
"Clayton Richard","CHC",42.1,-0.8319609761238098,,,,,2.133288711309433,-1.2427058517932892,0.04054957628250122,,,-1.0778679847717285,,,"Clayton Richard",3551,453385
