Name,Team,RA9-WAR,BIP-Wins,LOB-Wins,FDP-Wins,RAR,WAR,Dollars,NameASCII,PlayerId,MLBAMID
"Bryan Baker","BAL",0.5532129406929016,0.1819947212934494,-0.04616835340857506,0.13582637906074524,4.139013290405273,0.41738656163215637,3.339092493057251,"Bryan Baker",19804,641329
"JT Chargois","MIA",0.6987498998641968,0.2257876954972744,0.06014113873243332,0.2859288230538368,4.156349420547485,0.41282105445861816,3.3025684356689453,"JT Chargois",13767,608638
"Hyun Jin Ryu","TOR",0.7872307300567627,0.27559947967529297,0.09975773841142654,0.3753572106361389,4.177459239959717,0.4118735194206238,3.2949881553649902,"Hyun Jin Ryu",14444,547943
"Carl Edwards Jr.","WSN",0.4921068251132965,-0.0666579082608223,0.1484278440475464,0.08176993578672409,4.124612331390381,0.4103368818759918,3.2826950550079346,"Carl Edwards Jr.",13607,605218
"Austin Pruitt","OAK",1.0222806632518768,0.3839413095265627,0.22861814498901367,0.6125594079494476,4.069479405879974,0.4097212329506874,3.2777698636054993,"Austin Pruitt",15290,643493
"Jason Adam","TBR",0.9086999893188477,0.5466126799583435,-0.04757719486951828,0.499035507440567,4.066850185394287,0.40966448187828064,3.277315855026245,"Jason Adam",11861,592094
"Luke Weaver","- - -",-0.4872429892420769,-0.9316782839596272,0.035590313374996185,-0.8960879892110825,3.82576060295105,0.4088449776172638,3.2707598209381104,"Luke Weaver",16918,596133
"Michael Fulmer","CHC",0.2414182908833027,-0.09620079398155212,-0.0690876841545105,-0.16528847068548203,4.022645175457001,0.4067067727446556,3.253654181957245,"Michael Fulmer",13218,605242
"Trevor Richards","TOR",-0.12927880883216858,-0.2359670102596283,-0.29166473913937807,-0.5276317447423935,3.953256368637085,0.3983529657125473,3.1868237257003784,"Trevor Richards",19309,670950
"Victor González","LAD",0.2982068806886673,0.12448504939675331,-0.213344544172287,-0.08885948732495308,3.87449249625206,0.3870663698762655,3.096530959010124,"Victor Gonzalez",16408,624647
"Kenny Rosenberg","LAA",0.6611786969006062,-0.254722410812974,0.5354891186580062,0.28076669201254845,3.622929520905018,0.3804119750857353,3.0432958006858826,"Kenny Rosenberg",20009,670046
"Tyler Mahle","MIN",0.5462604761123657,0.14153024554252625,0.02787107042968273,0.16940131783485413,3.7294859886169434,0.3768591582775116,3.0148732662200928,"Tyler Mahle",16358,641816
"Chris Murphy","BOS",0.006466019432991743,-0.29734423756599426,-0.06807538121938705,-0.3654195964336395,3.663266658782959,0.37188562750816345,2.9750850200653076,"Chris Murphy",26214,669684
"Bryan Shaw","CHW",0.39759561419487,0.0401633083820343,-0.014100288972258568,0.026063021272420883,3.681584119796753,0.3715325891971588,2.9722607135772705,"Bryan Shaw",8110,543766
"José Soriano","LAA",0.16224269568920135,-0.0838913768529892,-0.11722254008054733,-0.20111390948295593,3.603903293609619,0.3633566200733185,2.906852960586548,"Jose Soriano",22100,667755
"Bailey Falter","- - -",-0.4596649259328842,-0.1133844330906868,-0.7092012763023376,-0.8225857317447662,3.357965111732483,0.36292081512510777,2.903366521000862,"Bailey Falter",20070,663559
"Ben Lively","CIN",0.6066045574843884,0.01525490963831544,0.2305617779493332,0.24581670761108398,3.69900381565094,0.36078786849975586,2.886302947998047,"Ben Lively",14932,594902
"Touki Toussaint","- - -",0.6143644079566002,0.5641159825026989,-0.30418549850583076,0.25993048399686813,3.6021592020988464,0.35443393513560295,2.8354714810848236,"Touki Toussaint",16929,657053
"Luke Jackson","SFG",0.31067490577697754,0.0722639262676239,-0.11495190113782883,-0.042687974870204926,3.5458261966705322,0.35336288809776306,2.8269031047821045,"Luke Jackson",11752,592426
"John Brebbia","SFG",0.045792579650878906,0.23271960020065308,-0.5209674686193466,-0.28824785351753235,3.3408737778663635,0.33404044434428215,2.672323554754257,"John Brebbia",12777,605154
"Brandon Pfaadt","ARI",0.07558460161089897,-0.35965874046087265,0.1065845750272274,-0.25307416915893555,3.0479488372802734,0.328658789396286,2.629270315170288,"Brandon Pfaadt",27782,694297
"Collin McHugh","ATL",-0.13804516196250916,-0.6973778605461121,0.2390376627445221,-0.45834018290042877,3.231644243001938,0.32029500883072615,2.562360070645809,"Collin McHugh",7531,543521
"Bryse Wilson","MIL",1.3332598209381104,1.132201910018921,-0.11781875789165497,1.0143831968307495,3.2166221141815186,0.318876713514328,2.551013708114624,"Bryse Wilson",19990,669060
"Daniel Lynch IV","KCR",0.5839483737945557,0.5172240138053894,-0.25094449520111084,0.26627951860427856,3.263134717941284,0.3176688849925995,2.541351079940796,"Daniel Lynch IV",21537,663738
"James Kaprielian","OAK",-0.6028250157833099,-0.3948645144701004,-0.5165817588567734,-0.9114462733268738,3.171552788466215,0.30862122238613665,2.468969779089093,"James Kaprielian",18331,621076
"Julio Teheran","MIL",0.796279177069664,0.5580527372658253,-0.06906911730766296,0.4889836311340332,3.209719479084015,0.3072955086827278,2.4583640694618225,"Julio Teheran",6797,527054
"John King","- - -",0.6886714100837708,-0.509264599531889,0.894699327647686,0.38543471693992615,3.027315139770508,0.3032366782426834,2.4258934259414673,"John King",22051,667463
"Slade Cecconi","ARI",0.33134831488132477,0.09238483011722565,-0.06342695653438568,0.028957873582839966,2.9394246339797974,0.3023904487490654,2.419123589992523,"Slade Cecconi",27500,677944
"Martín Pérez","TEX",1.0905261933803558,0.03354558348655701,0.7553078830242157,0.7888534963130951,3.063644289970398,0.30167268216609955,2.4133814573287964,"Martin Perez",6902,527048
"Taylor Rogers","SFG",-0.006535786669701338,0.1462358683347702,-0.44975438714027405,-0.30351850390434265,2.9971516132354736,0.29698270559310913,2.375861644744873,"Taylor Rogers",13449,573124
"Jovani Morán","MIN",-0.44613412022590637,-0.06470567733049393,-0.6772837042808533,-0.7419894337654114,2.9376542568206787,0.2958552837371826,2.366842269897461,"Jovani Moran",20422,663558
"Thomas Hatch","- - -",-0.11218968778848648,-0.4078764468431473,0.0035772165283560753,-0.404299259185791,2.8825192153453827,0.29210956767201424,2.336876541376114,"Thomas Hatch",19264,641672
"Derek Law","CIN",0.8255627304315567,0.24647587537765503,0.28848304972052574,0.5349589064717293,2.93136066198349,0.290603831410408,2.324830651283264,"Derek Law",13133,571882
"Tommy Kahnle","NYY",0.8823292255401611,0.5028828978538513,0.09202504903078079,0.5949079394340515,2.8550426959991455,0.2874212861061096,2.299370288848877,"Tommy Kahnle",11384,592454
"Peter Strzelecki","- - -",0.1560365967452526,0.02828379161655903,-0.15948723629117012,-0.13120345026254654,2.8796046674251556,0.2872400376945734,2.297920301556587,"Peter Strzelecki",21367,657265
"Giovanny Gallegos","STL",0.3193190395832062,0.026491358876228333,0.005931003950536251,0.03242236375808716,2.8977041244506836,0.286896675825119,2.295173406600952,"Giovanny Gallegos",14986,606149
"Isaiah Campbell","SEA",0.4985169470310211,0.07866303622722626,0.1345927119255066,0.21325574815273285,2.8200883865356445,0.2852611839771271,2.2820894718170166,"Isaiah Campbell",25551,663462
"Dakota Hudson","STL",0.548727497458458,-0.12833599001169205,0.3934147357940674,0.2650787476450205,2.919988512992859,0.2836487293243408,2.2691898345947266,"Dakota Hudson",19206,641712
"Andre Jackson","- - -",0.49610450863838196,0.6264368966221809,-0.41322239488363266,0.21321449428796768,2.741835504770279,0.282890010625124,2.263120085000992,"Andre Jackson",21298,656578
"Kyle Finnegan","WSN",0.8996191024780273,0.056405067443847656,0.5704962611198425,0.6269013285636902,2.7566964626312256,0.27271774411201477,2.181741952896118,"Kyle Finnegan",15009,640448
"Jordan Wicks","CHC",0.5209134817123413,0.323509156703949,-0.06967245787382126,0.2538366913795471,2.7548015117645264,0.2670767605304718,2.1366140842437744,"Jordan Wicks",30094,696136
"Joe Mantiply","ARI",0.028099074959754944,0.2579488195478916,-0.4909487571567297,-0.23299993760883808,2.628543794155121,0.2610990181565285,2.088792145252228,"Joe Mantiply",14857,573009
"Beau Brieske","DET",0.5680463165044785,-0.0953078493475914,0.4023491144180298,0.3070412687957287,2.55268394947052,0.2610050439834595,2.088040351867676,"Beau Brieske",26079,689225
"Carlos Hernández","KCR",-0.3468817472457886,0.09635093249380589,-0.7042044401168823,-0.607853502035141,2.420732617378235,0.2609717920422554,2.087774336338043,"Carlos Hernandez",22713,672578
"Lane Ramsey","CHW",-0.17134669423103333,-0.41883498430252075,-0.013223880901932716,-0.4320588707923889,2.571268081665039,0.2607121765613556,2.0856974124908447,"Lane Ramsey",25071,682010
"Cody Bradford","TEX",0.007846027612686157,0.15891197323799133,-0.4108639284968376,-0.2519519627094269,2.6317470148205757,0.2597979954443872,2.0783839635550976,"Cody Bradford",27597,674003
"Daniel Palencia","CHC",-0.05575234442949295,0.06105729192495346,-0.3697682321071625,-0.3087109625339508,2.544965982437134,0.25295859575271606,2.0236687660217285,"Daniel Palencia",27914,694037
"Drew Carlton","SDP",-0.10870417952537537,0.09128714352846146,-0.4499858021736145,-0.35869866609573364,2.502401113510132,0.24999447166919708,1.9999557733535767,"Drew Carlton",19868,656290
"Zach Plesac","CLE",-0.5578020215034485,-0.7450782060623169,-0.057781003415584564,-0.8028591871261597,2.452432155609131,0.24505716562271118,1.9604573249816895,"Zach Plesac",19979,668676
"Kyle Nelson","ARI",0.17749254405498505,-0.3389301933348179,0.2740650177001953,-0.06486520543694496,2.429892897605896,0.2423577569425106,1.9388620555400848,"Kyle Nelson",20515,669459
"Germán Márquez","COL",0.35104328393936163,0.12344788014888763,-0.01246503833681345,0.11098284274339676,2.4365286827087402,0.2400604486465454,1.9204835891723633,"German Marquez",15038,608566
"Carmen Mlodzinski","PIT",0.7357219681143761,0.26084642857313156,0.23494021594524384,0.4957866333425045,2.4211623072624207,0.23993534874171019,1.9194827899336815,"Carmen Mlodzinski",27572,669387
"Phil Bickford","- - -",-0.4490060359239578,0.0971689485013485,-0.7789191156625748,-0.6817501708865166,2.3484573662281036,0.23274415358901024,1.861953228712082,"Phil Bickford",18519,641360
"Shintaro Fujinami","- - -",-1.907950609922409,-0.0848434567451477,-2.0521642565727234,-2.1370078325271606,1.9828749895095825,0.22905713319778442,1.8324570655822754,"Shintaro Fujinami",31839,660261
"Alex Wood","SFG",0.33414605259895325,-0.08930755406618118,0.19865073263645172,0.10934317111968994,2.138128876686096,0.2248028963804245,1.798423171043396,"Alex Wood",13781,622072
"Peter Lambert","COL",0.7859168648719788,0.03311389684677124,0.5294638574123383,0.562577766366303,2.21875,0.22333911061286926,1.786712884902954,"Peter Lambert",17969,663567
"Keaton Winn","SFG",0.23438319563865662,0.4175671190023422,-0.4031228981912136,0.014444231986999512,2.245082139968872,0.2199389636516571,1.7595117092132568,"Keaton Winn",23499,676775
"Brendan White","DET",-0.2496088445186615,-0.31582579761743546,-0.1464102566242218,-0.46223605796694756,2.1030800342559814,0.21262722462415695,1.7010177969932556,"Brendan White",26024,686839
"Nick Robertson","- - -",-0.5931141301989555,-0.5529804974794388,-0.24909608159214258,-0.8020765669643879,2.082577794790268,0.2089624274522066,1.671699419617653,"Nick Robertson",26226,687798
