Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Kyle Hendricks","LAA",164.2,86.47347337372449,,,,,86.2011201629328,,72.24669719192217,,,79.45937025075987,,,"Kyle Hendricks",12049,543294
"Yimi García","TOR",21,96.01760883451257,,,,,95.20925564236111,85.91874694824219,84.54838709677419,,,89.53499755859374,,,"Yimi Garcia",12095,554340
"Chris Bassitt","TOR",170.1,91.47870870960077,,88.5470743857667,83.62558290939923,,91.56556270686724,76.26802797786524,71.29086953868037,,,84.46710526315789,,,"Chris Bassitt",12304,605135
"Colin Rea","CHC",159.1,93.82070925711692,,88.1962391843078,87.35228614557802,,93.08537877501236,84.03775211256378,80.31551913557381,,,,,,"Colin Rea",12317,607067
"Seth Lugo","KCR",145.1,91.7265857514881,,89.2358208955224,84.32142857142857,,91.27369716401734,82.47262351606145,78.932421875,71.13245699698464,,86.24166495339912,,,"Seth Lugo",12447,607625
"Blake Treinen","LAD",26.2,95.20163614241804,,91.60000342653508,,,95.89210269325658,84.39916688278008,,,,,,,"Blake Treinen",12572,595014
"Adrian Houser","- - -",125,95.24660412542421,,,,,94.42278301208286,88.11746508454624,81.69411720517535,,,85.84602076124567,,,"Adrian Houser",12718,605288
"Nick Martinez","CIN",165.2,92.62242716851635,,89.07710908882784,,,92.50113046520691,84.91064453125,79.7982392646897,,,78.52940984987745,,,"Nick Martinez",12730,607259
"Rafael Montero","- - -",60.1,95.14806378132118,,,87.8866672889859,,95.0250015258789,85.07951851350715,,,,,,,"Rafael Montero",12760,606160
"Sonny Gray","STL",180.2,91.72673009488449,,87.84302325581395,,,92.36807941331924,85.03609154929578,80.26982205734406,74.89999389648438,,86.19475811954149,,,"Sonny Gray",12768,543243
"John Brebbia","- - -",23.1,92.55688910590278,,,,,,83.98291629043656,73.875,,,86.40322580645162,,,"John Brebbia",12777,605154
"Michael Kelly","ATH",39.2,95.81406656901042,,91.88823385799633,,,95.06000162760417,84.24156670232274,,,,89.15999755859374,,,"Michael Kelly",12791,547184
"Andrew Kittredge","- - -",53,94.73703944830247,,,88.47142682756696,,95.21788392449818,89.20443349753694,,,,,,,"Andrew Kittredge",12828,552640
"Shawn Armstrong","TEX",74,93.52369365985577,,90.8353189801638,,,94.11149556244014,85.08275852714918,84.5999984741211,,,,,,"Shawn Armstrong",12857,542888
"Tyler Anderson","LAA",136.1,89.28802141657334,,84.34488354645094,,,88.44470932904412,80.54024152057927,69.42000122070313,,,78.67559944968554,,,"Tyler Anderson",12880,542881
"Joe Ross","PHI",51,94.19688724505939,,,,,94.72869554602582,87.20994655748936,83.51739336096722,,,90.07702719198691,,,"Joe Ross",12972,605452
"Andrew Chafin","- - -",33.2,89.51461463341346,,,,,89.74032680684157,80.49240588739451,,,,84.3499984741211,,,"Andrew Chafin",12988,605177
"Anthony DeSclafani","ARI",38.2,93.86132351857312,,,83.59922329215117,,94.09338883329029,87.9889682112069,,83.17969851386279,,,,,"Anthony DeSclafani",13050,543101
"Yu Darvish","SDP",72,93.92848950763081,,90.7872340425532,86.36666349085365,,93.4040666285569,84.56137184115524,71.11564354923185,78.82142857142857,,88.0499979654948,,,"Yu Darvish",13074,506433
"Eduardo Rodriguez","ARI",154.1,91.99156766528925,,89.32457386363636,,,91.55773259943182,84.14341085271317,78.62978931183511,,,85.92646798204159,,,"Eduardo Rodriguez",13164,593958
"Danny Coulombe","- - -",43,90.3037037037037,,85.22275853650324,,,90.23616796182402,80.71406102180481,,78.54999771118165,,,,,"Danny Coulombe",13293,543056
"Hoby Milner","TEX",70.1,87.9005859375,,,,,87.52710731907895,78.18325219365764,,,,81.10099405317165,,,"Hoby Milner",13346,571948
