Name,Team,IP,K/9+,BB/9+,K/BB+,HR/9+,K%+,BB%+,AVG+,WHIP+,BABIP+,LOB%+,ERA-,FIP-,xFIP-,LD%+,GB%+,FB%+,NameASCII,PlayerId,MLBAMID
"Steven Wilson","CHW",55.1,96.67102765870472,110.4867606831005,87.49557509796564,94.46047415793598,94.04866828486615,107.48962803415576,96.25252820702629,101.49980007435107,94.8472662231568,113.43093065854295,83.16629076641281,99.94135800180301,123.17201863331148,96.00629480487713,65.96057118828892,138.01043739148858,"Steven Wilson",20353,621051
"Cristian Javier","HOU",37,96.38070212395155,112.65846473377914,85.5512289662253,60.542220489715234,96.2451338711422,112.50000129101639,94.36843616552704,99.0867440190581,97.18027142989814,81.29888109127958,113.46893776480199,87.47293597663882,119.33096380419842,85.9628268897531,72.33059525438851,136.3003427180563,"Cristian Javier",17606,664299
"Eury Pérez","MIA",95.1,117.95776206211428,94.76786424371227,124.47021817126122,98.03172546025485,124.31529425475665,99.87553065349537,79.55900952632004,80.95448833262027,82.56675238784251,90.64891233187953,99.60486179993964,88.86674018730544,98.4071601618185,88.4327672703236,73.59216310561287,135.33307243450196,"Eury Perez",27768,691587
"Jeremiah Estrada","SDP",73,158.44661542782262,104.42316803801572,151.7351231040137,128.02318651243775,161.93702806637103,106.72349270826093,86.68140260757282,89.86319259037967,102.61484834101297,111.70605074759156,85.23726112868573,86.71776951962744,77.3728023154768,64.51880120308485,85.34777905988503,134.7829378182795,"Jeremiah Estrada",22210,669093
"Valente Bellozo","MIA",81.1,71.10615344636261,79.83901153958585,89.06192007619346,143.63254652467646,70.73111559712439,79.41790710227676,108.43322949459508,102.48041803041114,95.4268517180918,104.2675950050394,108.9666286767392,125.09726982018228,128.52466673203685,86.21197782714613,75.77179896041177,134.07522381994286,"Valente Bellozo",23899,678368
"Héctor Neris","- - -",26.2,137.74443284381758,166.9010004101898,82.57513847320801,169.2092024922201,125.53474809791287,152.13006152876392,112.40127695675714,131.44628336842337,121.14862571732176,76.56067805181863,163.05808039102013,128.18604742109923,107.90625753238305,110.88026761190406,62.95887880735482,133.70441853103733,"Hector Neris",11804,593576
"Ben Lively","CLE",44.2,68.09690469738746,93.3215693838549,72.97016589183762,100.3012963727981,72.40649286027926,99.22752842815768,96.9375155243278,92.55753386051795,87.12713990266731,113.6193228837374,79.6384223814723,111.444114139177,126.42730225227143,95.33605381374886,70.39075896424323,133.65927812303568,"Ben Lively",14932,594902
"Brandon Woodruff","MIL",64.2,137.46103664985532,61.122829109180046,224.89312886462955,108.39074647575451,147.21123709645622,65.45830609040296,76.7802941200699,70.41371221470378,83.56297285584255,101.6851159311372,76.64686067483079,76.83486589764986,78.72462128740256,77.51709435471682,80.60005379418041,133.26066424007777,"Brandon Woodruff",16162,605540
"Raisel Iglesias","ATL",67.1,116.11137251160537,67.08814300749135,173.0728747905156,92.53159770187351,125.09421236932579,72.27834352416393,84.21064516394763,76.7945514775216,88.45554877820723,106.22009220261175,75.86878937001865,82.04928622178969,91.59486831742787,95.55986663367555,72.26211731749169,133.0861631449074,"Raisel Iglesias",17130,628452
"Nestor Cortes","- - -",34.1,90.46154993805364,164.46364521520198,55.00398210434139,294.88830850659593,84.19655816073266,153.073563785865,109.19864052632163,125.88029747376615,84.96068088449464,119.20039131772783,153.77504277381016,199.3573318021285,138.11207078416342,86.37619109713127,76.819889567424,132.82690446516196,"Nestor Cortes",17874,641482
"Connor Brogdon","LAA",47,109.34809480473827,106.42632025813559,102.74534853519066,174.7566648163691,109.43154218491868,106.5075388550703,103.378405985889,104.55919264278832,97.9280250145682,92.07216533758373,133.9849206304443,124.34446243663875,106.13835705165195,93.61854897801511,72.00276094684624,132.81388689204366,"Connor Brogdon",21205,641401
"Carlos Estévez","KCR",66,85.81491314794715,92.6303039333265,92.64237361981897,56.567232754133975,89.2156402060859,96.301115896186,82.13549073666242,82.73201053369841,81.44493512640638,106.29525351921505,58.16834830100485,87.74271345517776,118.76365691455379,119.5960368862935,60.463857083835116,132.01392831715773,"Carlos Estevez",14542,608032
