Name,Team,BABIP,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,RS,RS/9,Balls,Strikes,Pitches,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,NameASCII,PlayerId,MLBAMID
"Orlando Ribalta","WSN",0.30985915492957744,0.783783783,0.142857142,0.376623376,0.48051948,0.108108108,0.162162162,8,2.9589047280726453,187,315,502,0.49350649,0.28571429,0.22077922,0.23376623,0.48051948,0.28571429,"Orlando Ribalta",26247,687377
"Spencer Bivens","SFG",0.3130081300813008,1.625,0.16,0.52,0.32,0.125,0.075,29,3.2222225257235424,428,866,1294,0.38095238,0.38888889,0.23015873,0.21825397,0.49603175,0.28571429,"Spencer Bivens",30226,702352
"Tanner Bibee","CLE",0.28094302554027506,1.144230769,0.161654135,0.447368421,0.390977443,0.110576923,0.129807692,97,4.787934320033052,1066,1905,2971,0.40671642,0.33768657,0.25559701,0.16044776,0.55410448,0.28544776,"Tanner Bibee",30134,676440
"Jorge Alcala","- - -",0.34868421052631576,0.683544303,0.179012345,0.333333333,0.48765432,0.177215189,0.164556962,6,0.9818183350366249,382,676,1058,0.42424242,0.34545455,0.23030303,0.19393939,0.52121212,0.28484848,"Jorge Alcala",19459,660896
"Freddy Peralta","MIL",0.24349881796690306,0.815920398,0.170454545,0.372727272,0.456818181,0.144278606,0.104477611,110,5.603773423572082,1187,1902,3089,0.3724605,0.34311512,0.28442438,0.18961625,0.52595937,0.28442438,"Freddy Peralta",18679,642547
"Greg Weissert","BOS",0.2670157068062827,1.025316455,0.183673469,0.413265306,0.403061224,0.088607594,0.075949367,29,3.895522831648964,385,684,1069,0.39086294,0.3857868,0.22335025,0.14720812,0.56852792,0.28426396,"Greg Weissert",20375,669711
"Matt Bowman","BAL",0.32142857142857145,0.81081081,0.220930232,0.348837209,0.430232558,0.162162162,0.108108108,6,2.189189584173437,163,284,447,0.42045455,0.36363636,0.21590909,0.20454545,0.51136364,0.28409091,"Matt Bowman",13528,621199
"Kris Bubic","KCR",0.2948717948717949,1.415094339,0.194968553,0.471698113,0.333333333,0.122641509,0.056603773,56,4.332378412913606,610,1185,1795,0.43081761,0.29874214,0.27044025,0.22327044,0.49371069,0.28301887,"Kris Bubic",21455,663460
"Clayton Beeter","- - -",0.2,0.909090909,0.192307692,0.384615384,0.423076923,0.09090909,0.136363636,8,2.842105833777545,190,275,465,0.32075472,0.39622642,0.28301887,0.13207547,0.58490566,0.28301887,"Clayton Beeter",27494,690925
"Tyler Anderson","LAA",0.2628992628992629,0.579908675,0.202764976,0.292626728,0.504608294,0.109589041,0.127853881,63,4.158924360538263,846,1494,2340,0.41609195,0.35632184,0.22758621,0.17931034,0.53793103,0.28275862,"Tyler Anderson",12880,542881
