Name,Team,IP,FA-Z,FT-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z,NameASCII,PlayerId,MLBAMID
"Nathan Eovaldi","BOS",67.2,8.398525203167848,,5.786592289439419,1.2303179802253232,,,0.5347995758056641,-4.588889903072857,,,,,,"Nathan Eovaldi",9132,543135
"Tim Melville","COL",33.1,8.56051765604222,,,,,,1.5050103323800224,-3.8361266165068657,,,8.25573102165671,,,"Tim Melville",9149,543532
"Patrick Corbin","WSN",202,9.052636871099844,,,,,6.687115424502212,0.20594692853541155,-0.2185512874437415,,,6.2668211598875665,,,"Patrick Corbin",9323,571578
"Jared Hughes","- - -",71.1,5.44859126164363,,,,,-0.2784487847284099,1.4360867152138361,-1.3931037849850125,,,1.9109457227918836,,,"Jared Hughes",9325,453172
"Josh Tomlin","ATL",79.1,8.75015920358938,,5.737255585897722,,,7.337565356034499,,-4.509438761599778,,,3.9139344126907822,,,"Josh Tomlin",9388,458708
"Dallas Keuchel","ATL",112.2,7.205572128295898,,4.220126095333615,,,2.986607524446116,-0.1633617060844887,,,,2.161879423359663,,,"Dallas Keuchel",9434,572971
"Ryan Buchter","OAK",45.1,10.395149541095021,,7.676825747282609,,,,,-1.8150591416792436,,,,,,"Ryan Buchter",9456,488748
"Dan Straily","BAL",47.2,9.888614472888765,,,,,7.854065895080566,1.6406988430517324,-3.292349142186782,,,1.9769581807017838,,,"Dan Straily",9460,573185
"Jeremy Jeffress","MIL",52,8.689154177295919,,,3.3808065561147838,,4.966030706724616,,,-3.2870045646292265,,,,,"Jeremy Jeffress",9490,502026
"David Hale","NYY",37.2,9.93296326982214,,,,,7.94900001128974,,0.9520517522638494,,,6.214052677154541,,,"David Hale",9756,571735
"Joe Kelly","LAD",51.1,8.165029672475962,,,,,5.3714727145522385,,,-6.954459433229814,,4.139707548124296,,,"Joe Kelly",9761,523260
"Miles Mikolas","STL",184,8.75751662932009,,,,,7.2324416701858105,1.8305206995576484,-8.169315592447917,,,4.142968008451373,,,"Miles Mikolas",9803,571945
"Sergio Romo","- - -",60.1,6.526233825683594,,,,,1.515818394405741,4.550309848624578,,,,1.5403096199035644,,,"Sergio Romo",9817,489265
"Chaz Roe","TBR",51,9.13235855102539,,3.788595684504105,,,3.901365794003282,-1.31254343479922,-1.2473026116689045,,,,,,"Chaz Roe",9866,475054
"Brandon Kintzler","CHC",57,7.661928653717041,,,,,5.272450539688032,2.028925577799479,,,,5.306414794921875,,,"Brandon Kintzler",9939,445213
"Mike Minor","TEX",208.1,8.809330249039746,,,,,,1.8118980864775345,,-5.553568150293733,,6.797591461107748,,,"Mike Minor",10021,501985
"Kyle Gibson","MIN",160,9.476497529044984,,,,,7.136946529620926,-0.26825810807922573,-4.76167872269498,,,3.8628562398138198,,,"Kyle Gibson",10123,502043
"Mike Leake","- - -",197,4.5397440354215455,,3.26482381500323,,,2.1013447256649243,-0.6035586809664565,,-0.8274667212303649,,-0.7766871010384908,,,"Mike Leake",10130,502190
"Stephen Strasburg","WSN",209,8.74339182630289,,,,,6.32217384281015,3.7981847127278647,-4.360589817381871,,,1.8593973214285715,,,"Stephen Strasburg",10131,544931
"Brad Boxberger","KCR",26.2,8.105255383403362,,,,,,4.113598910245028,,,,1.3510776306531445,,,"Brad Boxberger",10133,502202
"Ryan Weber","BOS",40.2,4.666868845621745,,2.1235814094543457,,,0.5637600835925805,-3.1418527097118143,-6.845973250889542,,,1.4870858192443848,,,"Ryan Weber",10160,543901
"Tyler Skaggs","LAA",79.2,10.267775114002147,,,,,,,-9.508503621854926,,,6.407699307528409,,,"Tyler Skaggs",10190,572140
"Shelby Miller","TEX",44,9.616632405739027,,4.488762701711347,,,7.890803718566895,,-5.830502755301339,,,5.366119384765625,,,"Shelby Miller",10197,571946
"Aroldis Chapman","NYY",57,13.627422917114888,,,,,11.376212071890782,1.345529234254515,,,,6.083998203277588,,,"Aroldis Chapman",10233,547973
"Ryan Tepera","TOR",21.2,9.509235650720731,,4.255044989629623,,,7.058435487353112,-0.8984720706939697,,,,1.723425989565642,,,"Ryan Tepera",10291,572193
"Zack Wheeler","NYM",195.1,9.265537346554911,,3.8597801610043176,4.256988016764323,,7.728167310585339,4.304999987284343,-6.457140491266919,,,6.210551992724442,,,"Zack Wheeler",10310,554430
"Juan Minaya","CHW",27.2,8.5205355743102,,-0.01875149831175804,,,,1.498020262945266,-0.306264066696167,,,1.662919044494629,,,"Juan Minaya",10341,573668
"Robbie Erlin","SDP",55.1,10.064201354980469,,,,,7.426828646192364,5.361476761954171,-9.833095996179313,,,5.38350622309079,,,"Robbie Erlin",10354,572362
"Mychal Givens","BAL",63,7.038141959338331,,,,,,2.712257065458926,,,,-1.8947303868547272,,,"Mychal Givens",10430,571710
"Jimmy Nelson","MIL",22,8.250961775632248,,,,,5.7089596955672555,0.008730645613236861,,-7.514530461008956,,3.394879326224327,,,"Jimmy Nelson",10547,519076
"Chad Bettis","COL",63.2,6.998873909637534,,3.023751967446098,,,5.580672924335186,,-4.732127774146296,,,2.3645947008247834,,,"Chad Bettis",10587,518452
"Chris Sale","BOS",147.1,6.904754742355606,,,,,2.63198548579121,-2.502604338536167,,,,-0.19493661324183145,,,"Chris Sale",10603,519242
"Shane Greene","- - -",62.2,9.315946367051867,,4.500185588254767,,,5.734352610935675,1.8483153094211822,,,,1.0322636604309081,,,"Shane Greene",10756,572888
"Mike Foltynewicz","ATL",117,8.817188285965795,,,,,5.897112381359762,2.455244893921352,-1.9430758827611019,,,6.254650947101955,,,"Mike Foltynewicz",10811,592314
"Asher Wojciechowski","BAL",82.1,9.88043734698772,,2.9615772705617305,,,,-0.8337615950858028,,,,8.366687550264245,,,"Asher Wojciechowski",10836,592879
"Adam Kolarek","- - -",55,7.72794432867141,,2.7051939964294434,,,-2.6314640112563494,3.983030773344494,,,,-1.739611847759926,,,"Adam Kolarek",10843,592473
"Josh A. Smith","BOS",31,9.168155754937066,,7.932951715257433,,,7.666559634001358,4.703011436023932,-5.624321485087819,,,5.22854938912899,,,"Josh A. Smith",10946,595001
"Jacob deGrom","NYM",204,9.640565236409506,,,,,7.898195154526654,4.118508534888699,-1.4289478589129705,,,2.6110193305335967,,,"Jacob deGrom",10954,594798
"Merrill Kelly","ARI",183.1,8.875749639749095,,6.262715695298006,,,5.373503681674651,,-6.936502577383307,,,7.85897382419912,,,"Merrill Kelly",11156,518876
"Vince Velasquez","PHI",117.1,9.8601239253387,,,,,4.9653699568339755,1.2450308709774378,,-5.480718605306618,,,,,"Vince Velasquez",11189,592826
"Casey Sadler","- - -",46.1,8.410712242126465,,4.009447871265324,,,4.822109280430319,,-4.204621559662344,,,3.04767640431722,,,"Casey Sadler",11209,594987
"Tommy Kahnle","NYY",61.1,12.214775843336092,,,,,,-0.19204552173614503,,,,3.2358359503253986,,,"Tommy Kahnle",11384,592454
"Jose Quintana","CHC",171,9.11238541141633,,,,,8.157632266773897,,-3.9533790978052283,,,5.80834454634657,,,"Jose Quintana",11423,500779
"Drew Pomeranz","- - -",104,10.880142346286961,,7.367459803555919,,,8.97141363681891,,,-7.949163461500598,,8.471263270224295,,,"Drew Pomeranz",11426,519141
"Brandon Workman","BOS",71.2,10.1750051275358,,2.1043711344401044,,,,,,-9.221432625534188,,,,,"Brandon Workman",11428,519443
