Name,Team,IP,vFA,vFT,vFC,vFS,vFO,vSI,vSL,vCU,vKC,vEP,vCH,vSC,vKN,NameASCII,PlayerId,MLBAMID
"Cole Hamels","CHC",141.2,91.43957965253239,,87.62803040919283,,,91.11799172794117,,77.99397732023411,,,83.27005870841488,,,"Cole Hamels",4972,430935
"Jake Diekman","- - -",62,95.77373980978261,,,,,95.47049100281762,84.98458643922018,,,,90.03333536783855,,,"Jake Diekman",5003,518617
"Jeurys Familia","NYM",60,95.89826815390174,,,92.17307692307692,,95.9480559946498,88.14782891757247,,,,,,,"Jeurys Familia",5114,544727
"Wade LeBlanc","SEA",121.1,86.33423291455519,,84.05313094860406,,,86.05486382378473,,72.46572861649061,,,78.56930693069307,,,"Wade LeBlanc",5221,453281
"Blake Parker","- - -",61.1,91.23368318256578,,88.053224625126,79.91230844350962,,,,76.01519002793711,,,,,,"Blake Parker",5224,453284
"Wilmer Font","- - -",84.1,94.43379612526078,,,84.68112033230442,,93.66390503651996,84.03219440739329,76.40793204471983,,,,,,"Wilmer Font",5257,521655
"Jose Alvarez","PHI",59,91.44360764582355,,86.96527777777777,,,91.4373684531764,83.2542020138179,81.61867065429688,,,82.03041125882056,,,"Jose Alvarez",5358,501625
"Manny Banuelos","CHW",50.2,91.95268197408537,,,,,91.42307692307692,85.38617551748392,78.95242813258496,,,82.55569496637658,,,"Manny Banuelos",5365,544365
"Michael Pineda","MIN",146,92.53900301395939,,,,,91.92916870117188,83.85295152368012,,,,87.0985041635479,,,"Michael Pineda",5372,501381
"Brad Peacock","HOU",91.2,92.54067394635291,,,,,91.77637965425532,81.28032203956887,,78.60192401592548,,83.38555772569444,,,"Brad Peacock",5401,502748
"Pedro Báez","LAD",69.2,95.80490767045454,,,,,96.03333536783855,86.33191697140957,,,,86.20804709949712,,,"Pedro Baez",5420,520980
"Jesse Chavez","TEX",78,91.41214930454147,,88.17629726080247,,,91.08044806517312,86.42413680854885,83.50000190734863,,,85.18,,,"Jesse Chavez",5448,445926
"Madison Bumgarner","SFG",207.2,91.3813254776496,,87.20914683456562,,,92.16666666666667,,78.80522017045455,,,84.15375496748555,,,"Madison Bumgarner",5524,518516
"Ryan Brasier","BOS",55.2,96.05120883580705,,,,,96.09750366210938,85.17211288060898,,,,87.41954022988506,,,"Ryan Brasier",5615,518489
"Tyler Clippard","CLE",62,90.09273661181913,,,81.83422933488885,,89.87064676616916,82.58902424137767,74.35555352105035,,,78.43957476396864,,,"Tyler Clippard",5640,461325
"Junior Guerra","MIL",83.2,94.59377803528709,,,86.02042528609155,,94.79216974431819,88,82.13701094980316,,,,,,"Junior Guerra",5702,448855
"Kelvin Herrera","CHW",51.1,96.27943681853583,,91.28217821782178,,,95.40052218264249,81.6608695652174,,,,88.55141022245763,,,"Kelvin Herrera",6033,516969
"Trevor Cahill","LAA",102.1,91.83357282366072,,85.76234300830696,,,91.67988000513347,,,79.44693229166667,,83.40497463852611,,,"Trevor Cahill",6249,502239
"David Phelps","- - -",34.1,92.71779084936973,,89.50324278135558,,,92.58648777867222,,,80.10168594188904,,86.39999389648438,,,"David Phelps",6316,475479
