Name,Team,IP,wFA/C,wFT/C,wFC/C,wFS/C,wFO/C,wSI/C,wSL/C,wCU/C,wKC/C,wEP/C,wCH/C,wSC/C,wKN/C,NameASCII,PlayerId,MLBAMID
"Mitch Keller","PIT",178,0.30158862781304413,,-0.9997628821342928,,,-0.25963366887215794,-1.0368056919263757,-0.10780757361084875,,,-12.498264962976629,,,"Mitch Keller",17594,656605
"Cristian Javier","HOU",34.2,-1.2972839176654816,,,,,,0.38092157670429777,,-5.2305426597595215,,1.3882493661120048,,,"Cristian Javier",17606,664299
"Tanner Rainey","WSN",51,-0.39668373159460113,,,,,,-0.2787474485544058,,,,-6.915645415966328,,,"Tanner Rainey",17610,663432
"Justin Lawrence","COL",59.2,,,,,,-2.396667722671751,0.2484740994193337,,,,-3.5048704594373703,,,"Justin Lawrence",17639,664875
"Jeffrey Springs","TBR",33,-0.7021695998922053,,-1.5446878396547756,,,-3.5048704594373703,2.8360517401444287,,,,-1.592026476087517,,,"Jeffrey Springs",17677,605488
"Trevor Megill","MIL",46.1,2.0441654349575527,,,,,-4.168543219566345,,,0.6081025851400276,,,,,"Trevor Megill",17722,656730
"Evan Phillips","LAD",54.2,1.478057832860235,,0.1528001935393722,,,-1.9136727497141848,-0.07617551054658189,,,,,,,"Evan Phillips",17734,623465
"Tyler Alexander","TBR",107.2,-0.19943470595985333,,-0.49791030164034866,,,-1.0185154333506545,1.433835283715897,,,,-2.9391389144094364,,,"Tyler Alexander",17735,641302
"José Alvarado","PHI",61.2,,,0.4556354205563383,,,0.8271885681152344,,6.305239101250966,,,,,,"Jose Alvarado",17780,621237
"Dillon Tate","- - -",36.2,-3.5048704594373703,,,,,-0.03575408907145916,-0.28447890039627927,,,,-1.7220369061908207,,,"Dillon Tate",17796,622253
"Nestor Cortes","NYY",174.1,0.25437800228500973,,1.3243028405619086,,,1.3651745021343231,-1.2715038644718826,,,,-0.8864485133777964,,,"Nestor Cortes",17874,641482
"Dennis Santana","- - -",71.2,0.7622099902531873,,1.1713908247227938,,,1.1277060452345256,1.0955098566118178,,,,-1.810943631715672,,,"Dennis Santana",17878,642701
"Tayler Saucedo","SEA",38.2,-0.12724851071834564,,,,,1.729620510423687,-1.4061641693115234,-3.7748729481416587,,,0.47569992590923693,,,"Tayler Saucedo",17888,642048
"Garrett Cleavinger","TBR",60,1.3220893112878835,,-0.1199116595357442,,,-2.9194893836975098,0.22612752960168486,,,,,,,"Garrett Cleavinger",17897,664076
"Trent Thornton","SEA",72.1,0.6643131113888925,,0.7095988392829895,,,-0.06933748998023846,0.8805636618588422,-2.060578500523287,,,-4.437043837138584,,,"Trent Thornton",17948,663423
"Brock Burke","- - -",34,-1.8914468438420076,,,,,0.18280170581958913,0.16121523292272683,,,,1.2087894622812565,,,"Brock Burke",17968,656271
"Peter Lambert","COL",61.1,-0.8381206393241882,,-4.556170105934143,,,-0.8046994606653849,-0.8716130256652832,-3.8024311065673824,,,-0.04621929847277128,,,"Peter Lambert",17969,663567
"Logan Webb","SFG",204.2,0.19784487345639398,,4.301816792715163,,,1.3232942848534162,0.16101426938000848,,,,-0.132375413721258,,,"Logan Webb",17995,657277
"Pete Fairbanks","TBR",45.1,0.12134121761796224,,,,,,2.0367423054489677,,,,-1.4553834994633994,,,"Pete Fairbanks",17998,664126
"Triston McKenzie","CLE",75.2,-2.1842212313963416,,,,,,1.4770843686848663,-0.16010740304886437,,,,,,"Triston McKenzie",18000,663474
"Phil Maton","- - -",64,,,1.4405665597366413,,,2.2855414748191833,-0.5720228479619612,-0.06326356501441292,,,,,,"Phil Maton",18064,664208
"Ryan Helsley","STL",66.1,0.7778058378972624,,,,,,2.799042171902127,1.4749858913750484,,,,,,"Ryan Helsley",18138,664854
"Tyler Kinley","COL",64,-2.04229211088401,,,,,-2.964581921696663,0.09538219241402833,,,,0.5670117480414254,,,"Tyler Kinley",18297,641755
"Carson Fulmer","LAA",86.2,0.19098684884781061,,,,,0.39009240090334657,1.220044692357381,-7.732306166393001,,,-0.6369678439661598,,,"Carson Fulmer",18311,608334
"Josh Staumont","MIN",24.1,1.7995866991224745,,,,,0.884509609456648,1.8007618512294088,-16.54316484928131,,,,,,"Josh Staumont",18335,622251
"Nick Anderson","KCR",35.2,-4.43695534107297,,,,,0.8627181085164115,,0.1684663967154492,,,0.01911765293163412,,,"Nick Anderson",18337,623433
"Michael Soroka","CHW",79.2,0.2836951333233434,,,,,-1.3291941943511465,0.38793091529686946,,,,-3.5164419880935127,,,"Michael Soroka",18383,647336
"Enyel De Los Santos","- - -",64,-1.7025583314991939,,,,,,0.06936241772549212,,,,-2.1469380492451546,,,"Enyel De Los Santos",18403,660853
"Danny Young","NYM",37.2,,,-38.98656368255615,,,1.0644938808081723,0.02652485496722735,,,,,,,"Danny Young",18439,664849
"Kenta Maeda","DET",112.1,-2.5996910442005503,,1.080868486315012,-0.22358701732315,,-0.01810542174748012,-0.3391110540962491,-4.358499845670115,,,,,,"Kenta Maeda",18498,628317
"Dylan Cease","SDP",189.1,0.21908315870191591,,-5.113514787272403,,,,1.9765862770944078,,-0.9516033043424447,,-4.132651856967381,,,"Dylan Cease",18525,656302
"Sam Hentges","CLE",23.2,-0.978560800905581,,,,,0.3291481839759009,3.6893151601155596,1.9425824284553528,,,,,,"Sam Hentges",18548,656529
"Logan Allen","ARI",28,-5.054561658339067,,0.34340677353051996,2.539841415955848,,-2.340686940527582,0.48650004425827337,5.6750670075416565,,,,,,"Logan Allen",18555,663531
"A.J. Minter","ATL",34.1,1.4618079825098735,,-0.14525724781884086,,,,,,,,1.6363250311984812,,,"A.J. Minter",18655,621345
"Jake Woodford","- - -",35,-0.6420897112952338,,-0.8235560887950962,,,-2.257778584311585,-2.088947765443517,,,,-0.6457139407434771,,,"Jake Woodford",18674,663765
"Freddy Peralta","MIL",173.2,0.05292397795231521,,,,,,-0.08861696325152753,0.364754773746027,,,0.8404673925086634,,,"Freddy Peralta",18679,642547
"Kolby Allard","PHI",27,-1.797390341758728,,-2.263244751252626,,,-8.178390104037064,,1.2717272875443946,,,1.969711370063278,,,"Kolby Allard",18694,663465
"Cody Poteet","NYY",24.1,0.7551469113848625,,,,,2.567468862000265,1.2362786314704202,-1.441721853456999,,,1.7093170238168613,,,"Cody Poteet",18769,547001
"Pedro Avila","- - -",82.2,-0.015955528230975857,,,,,-0.4086948331745191,-1.932038576810952,0.565317848272491,,,1.777793524356989,,,"Pedro Avila",18864,658648
"Tommy Nance","TOR",22,0,,,,,1.1998359973614032,-1.457876326089882,0.9410406932357914,,,,,,"Tommy Nance",19178,667297
"Dakota Hudson","COL",89,-2.2021824147278095,,-18.693888187408447,,,-0.07233191960253696,-0.3131878731373526,0.4832965594071609,,,-4.938297082256797,,,"Dakota Hudson",19206,641712
"Mitch White","- - -",23.2,0.008933981880545616,,,,,0.010162435079875744,-3.9457068485873084,0.6472904767308917,,,,,,"Mitch White",19225,669952
"Cole Irvin","- - -",111,-1.1578543023745902,,-0.6378493237989554,,,-0.49136735224521194,-3.1813501897785397,-0.3831210826009913,,,-1.5237993454631371,,,"Cole Irvin",19244,608344
"Seranthony Domínguez","- - -",58.2,-0.08272168248198754,,,,,-0.48056737500794083,0.12547752946755136,,,,-4.958678285280863,,,"Seranthony Dominguez",19249,622554
"Ian Hamilton","NYY",37.2,1.0440353009340575,,,,,-1.1373086108101738,-0.05422639438793773,,,,,,,"Ian Hamilton",19261,641656
"Jacob Webb","BAL",56.2,-0.012732481202447271,,,,,,0.7255729828172057,,,,1.8606295381538598,,,"Jacob Webb",19274,657097
"Zac Gallen","ARI",148,-0.5533777093763903,,-0.783190324709013,,,-1.0244347155094147,-0.5625063126240302,,2.294347883988526,,0.4258217974605723,,,"Zac Gallen",19291,668678
"Trevor Richards","- - -",65.1,0.06871542567133687,,,2.4363790949185686,,,,,,,0.5439710254541129,,,"Trevor Richards",19309,670950
"Cal Quantrill","COL",148.1,,,-0.4091247413935286,0.40200272350446553,,-2.00015102178139,,-0.7725992116583399,,,1.8075348214900242,,,"Cal Quantrill",19312,615698
"Matt Festa","- - -",23.2,1.7966547182628085,,1.1913509929881376,,,,-2.2030485793948174,,,,3.9364367723464966,,,"Matt Festa",19330,670036
"Richard Lovelady","- - -",34.1,-2.5849722898923435,,,,,-0.23560405436141718,2.110403506353559,,,,,,,"Richard Lovelady",19337,663992
"A.J. Puk","- - -",71.1,2.4996688304317165,,,-4.043668359518051,,-0.1810345946058715,0.09874006557892256,,,,-1.9453562357846428,,,"A.J. Puk",19343,640462
"Caleb Ferguson","- - -",54.1,-1.6118016231265055,,2.106766907438155,,,-0.6773518479388693,-2.8047828003764153,0.1368562798751028,,,,,,"Caleb Ferguson",19349,657571
"Dean Kremer","BAL",129.2,-0.1758779553200701,,0.33235769271850585,0.7325887680053711,,0.6722216925969938,,0.2898538304913429,,,,,,"Dean Kremer",19350,665152
"Lucas Erceg","- - -",61.2,0.13206822880299018,,,,,2.6279625326099962,2.511133479349541,,,,-0.6446088248110832,,,"Lucas Erceg",19360,668674
"Corbin Burnes","BAL",194.1,,,1.365272940486515,,,-0.5003237928955341,0.7049305253921578,0.4428553026775981,,,0.20032020854085594,,,"Corbin Burnes",19361,669203
"Keegan Akin","BAL",78.2,0.9711325940468328,,,,,,1.5767122935322884,,,,-0.26625292514687154,,,"Keegan Akin",19362,669211
"Walker Buehler","LAD",75.1,-2.432413199513229,,1.6238178280617694,,,-0.7354083411190487,-0.873011115967758,,-1.5574746765196323,,-5.901980745619622,,,"Walker Buehler",19374,621111
"Colin Poche","TBR",37.1,0.7186499801841941,,,,,,0.17284199681585236,,,,,,,"Colin Poche",19403,621363
"Ronel Blanco","HOU",167.1,-0.42339465911919477,,,,,,2.2358176794396827,2.5491500085638474,,,-0.1579008941342564,,,"Ronel Blanco",19407,669854
"Dane Dunning","TEX",95,-2.604159091909726,,-0.725038766673526,,-6.337367743253708,-0.004803403368536032,-1.443462179164694,,0.09107497768311561,,-1.2175732314304153,,,"Dane Dunning",19409,641540
"Yohan Ramírez","- - -",45,1.1637190429046171,,,,,-1.542100261945229,-0.647867036081547,-1.1014610094931518,,,,,,"Yohan Ramirez",19444,670990
"Patrick Sandoval","LAA",79.2,-2.1761068534025383,,,,,-1.8083044257296985,0.2684678309916323,2.0327267279991736,,,0.7325884765401154,,,"Patrick Sandoval",19447,663776
"Jorge Alcala","MIN",58.1,-0.6089868476089921,,,,,3.249021938868931,0.6218507554796007,,,,3.7805190247096374,,,"Jorge Alcala",19459,660896
"Aaron Civale","- - -",161,-1.698899403550571,,1.0834816273117505,-4.860713746812609,,0.0619438102322477,-1.0310258300537942,-1.3605322883027424,,,,,,"Aaron Civale",19479,650644
"Tyler Ferguson","OAK",51.1,0.4281657783291008,,-1.8468266551934398,,,4.504638544008053,0.827711613024052,,,,3.402296900749206,,,"Tyler Ferguson",19481,621053
"Jason Foley","DET",60,1.0975930336359385,,,,,-0.18180131671890135,2.8868454381039266,,,,-1.32548189163208,,,"Jason Foley",19531,671345
"David Bednar","PIT",57.2,-0.38819766380417514,,,-0.008496484620784357,,,,-0.10567105700524801,,,,,,"David Bednar",19569,670280
"JoJo Romero","STL",59,-2.9054945641821557,,,,,1.0497496984795276,1.9443534887754002,,,,-3.565761238146739,,,"JoJo Romero",19574,668941
"Cionel Pérez","BAL",53.2,-0.8861876560740494,,,,,0.2868907018141313,0.8437000674965941,,,,,,,"Cionel Perez",19614,672335
"Jordan Hicks","SFG",109.2,-3.8504812233852888,,,-0.4127414073125927,,-0.016458616370246527,-0.10095742351183719,,,,,,,"Jordan Hicks",19618,663855
"Gregory Soto","- - -",53,-2.877200757507729,,0.3698413925511496,,,0.5510228679582098,-1.164703381243091,,,,,,,"Gregory Soto",19677,642397
"Sixto Sánchez","MIA",35.2,-1.2148174079688818,,-1.5681536276758563,,,-4.7032566865285235,,,,,1.57821685839922,,,"Sixto Sanchez",19680,664350
"Anthony Bender","MIA",53,-1.535513767829308,,,,,-0.6924392452372753,1.6523391075048939,,,,-1.5764402376638877,,,"Anthony Bender",19742,669622
"Will Vest","DET",70.1,2.35953616656466,,,,,1.38970090918345,-2.334645829827662,,,,1.7567534195749386,,,"Will Vest",19769,676684
"Keegan Thompson","CHC",30.1,0.42710111786921817,,1.5748992378329052,,,-3.475875324673123,1.90950777079608,-0.7717092589634221,,,-5.325109759966532,,,"Keegan Thompson",19795,624522
"Bryan Baker","BAL",23.1,-1.38258156855462,,,,,,3.103493268673237,1.593651491052964,,,-0.9918013039757223,,,"Bryan Baker",19804,641329
"Gerson Garabito","TEX",26.1,-1.8189859977040268,,,,,1.242990353528191,-2.936715104927619,2.7525065187922495,,,-1.7778849392606502,,,"Gerson Garabito",19835,642520
"Michael King","SDP",173.2,-0.14889374567203767,,,,,0.6754093010629421,-0.18555408222435493,,,,1.605921406899729,,,"Michael King",19853,650633
